#Duplication rate	Coverage
1.0	619960.0
2.0	711300.0
3.0	109691.0
4.0	184564.0
5.0	36936.0
6.0	60172.0
7.0	15510.0
8.0	22690.0
9.0	7085.0
10.0	9761.0
11.0	3628.0
12.0	4588.0
13.0	1976.0
14.0	2366.0
15.0	1170.0
16.0	1456.0
17.0	758.0
18.0	861.0
19.0	516.0
20.0	565.0
21.0	344.0
22.0	424.0
23.0	251.0
24.0	328.0
25.0	214.0
26.0	229.0
27.0	159.0
28.0	186.0
29.0	150.0
30.0	170.0
31.0	118.0
32.0	149.0
33.0	114.0
34.0	138.0
35.0	98.0
36.0	104.0
37.0	77.0
38.0	91.0
39.0	70.0
40.0	80.0
41.0	64.0
42.0	81.0
43.0	55.0
44.0	81.0
45.0	48.0
46.0	64.0
47.0	53.0
48.0	62.0
49.0	43.0
50.0	1425.0
