#Duplication rate	Coverage
1.0	1510772.0
2.0	630684.0
3.0	229135.0
4.0	123560.0
5.0	57745.0
6.0	34128.0
7.0	18888.0
8.0	11922.0
9.0	7377.0
10.0	5008.0
11.0	3328.0
12.0	2400.0
13.0	1635.0
14.0	1335.0
15.0	990.0
16.0	780.0
17.0	607.0
18.0	512.0
19.0	418.0
20.0	340.0
21.0	299.0
22.0	269.0
23.0	219.0
24.0	202.0
25.0	175.0
26.0	167.0
27.0	156.0
28.0	115.0
29.0	140.0
30.0	97.0
31.0	89.0
32.0	78.0
33.0	76.0
34.0	84.0
35.0	91.0
36.0	62.0
37.0	48.0
38.0	75.0
39.0	51.0
40.0	48.0
41.0	55.0
42.0	50.0
43.0	40.0
44.0	34.0
45.0	39.0
46.0	44.0
47.0	31.0
48.0	33.0
49.0	23.0
50.0	705.0
