#Coverage (X)	Coverage
1.0	99.20664500306611
2.0	99.19663439610005
3.0	99.160416892015
4.0	99.15462603966981
5.0	99.14684458183095
6.0	99.14164597574833
7.0	99.13629108245755
8.0	99.12918412730663
9.0	99.11965060760765
10.0	99.10650603083546
11.0	99.08729092987187
12.0	99.0591592323995
13.0	99.02332833351362
14.0	98.97322594482814
15.0	98.90793079437908
16.0	98.82045108601102
17.0	98.70265165925605
18.0	98.55435154997839
19.0	98.37248259351219
20.0	98.14035496115234
21.0	97.85684173987146
22.0	97.51989474467811
23.0	97.11738115283202
24.0	96.63241372020724
25.0	96.07558707438983
26.0	95.43515499783871
27.0	94.70724321291952
28.0	93.87847682486908
29.0	92.94962904408574
30.0	91.9219830708051
31.0	90.7915741453249
32.0	89.55573715946355
33.0	88.22670364367175
34.0	86.78914922590535
35.0	85.27178139861422
36.0	83.65221818845852
37.0	81.9340624268689
38.0	80.14731303217337
39.0	78.265088604565
40.0	76.32391099690264
41.0	74.32864156392496
42.0	72.30417109994525
43.0	70.21901184533652
44.0	68.10894534512946
45.0	65.98223014442993
46.0	63.85365594851734
47.0	61.730436645895544
48.0	59.60743943562221
49.0	57.50092641299059
50.0	55.40986114704117
51.0	53.33110966796782
