#Read position (bp)	Clipping profile
0.0	1.2422576686639206
1.0	1.201504981865876
2.0	1.154534248707567
3.0	1.1309096971640376
4.0	1.109372920086131
5.0	1.0904353802947429
6.0	1.0730087519840983
7.0	1.0556911239467597
8.0	1.0390191129128465
9.0	1.0229055186637144
10.0	1.0068254629602147
11.0	0.9907101917838008
12.0	0.9747408132808885
13.0	0.9590648970522604
14.0	0.9434409655693625
15.0	0.9275822642670373
16.0	0.9118879018383115
17.0	0.8963981245379437
18.0	0.880997224383502
19.0	0.8653766467551675
20.0	0.8498516539818856
21.0	0.8344809385185132
22.0	0.81927456192874
23.0	0.8041419701393583
24.0	0.7888836088038549
25.0	0.7736151859046615
26.0	0.758955487608698
27.0	0.7442773431126366
28.0	0.7292839362876298
29.0	0.7147533613923513
30.0	0.7004894179348513
31.0	0.6865457675881416
32.0	0.6728268254971695
33.0	0.6588898828595863
34.0	0.6451877100414305
35.0	0.6313631215317161
36.0	0.618382027444659
37.0	0.6056256416133395
38.0	0.5932147028020348
39.0	0.5812179650292914
40.0	0.5696941207499662
41.0	0.5585308158361902
42.0	0.5475050189595075
43.0	0.5367206996113788
44.0	0.5262566733740404
45.0	0.5159418936647666
46.0	0.5056287908827745
47.0	0.4957734892486658
48.0	0.4864749274720566
49.0	0.4775469666246865
50.0	0.4689074372697558
51.0	0.4601555537869563
52.0	0.45193861010699504
53.0	0.4442800832118148
54.0	0.43728394259287634
55.0	0.43050747944783074
56.0	0.4236102775385082
57.0	0.41697299935783744
58.0	0.41060402954222663
59.0	0.404417844800313
60.0	0.39851673769627555
61.0	0.3931455396132315
62.0	0.3884182816063313
63.0	0.3840197013466296
64.0	0.3799866912343221
65.0	0.3760559736861937
66.0	0.37267193443187496
67.0	0.36916547948599765
68.0	0.3661101179788774
69.0	0.3635092037650774
70.0	0.361164859425366
71.0	0.35934539332480314
72.0	0.35793509748095675
73.0	0.35709160305829946
74.0	0.35645269376400046
75.0	0.3563671704726376
76.0	0.35629673952680935
77.0	0.3570597414399486
78.0	0.3580340361905726
79.0	0.3590418694868291
80.0	0.361044120661089
81.0	0.36317549523603404
82.0	0.36589211743226613
83.0	0.3689877251941454
84.0	0.3725998265587651
85.0	0.37611969692289543
86.0	0.3800420298346157
87.0	0.38403143983760096
88.0	0.38821705033253634
89.0	0.3931103241403173
90.0	0.39841276820481475
91.0	0.40443964485497413
92.0	0.41035584430454625
93.0	0.4171272766677469
94.0	0.42362704681132446
95.0	0.4305426949207449
96.0	0.4374751123029816
97.0	0.44456013006784617
98.0	0.4520710873622434
99.0	0.46018070769618064
100.0	0.46900469905209
101.0	0.4777498748257631
102.0	0.48630891167117574
103.0	0.4957600738304128
104.0	0.5055432675914115
105.0	0.5157205392635922
106.0	0.526030288191021
107.0	0.536415498846123
108.0	0.5473423570131899
109.0	0.5583731846717175
110.0	0.5695499050037465
111.0	0.5810418876647209
112.0	0.5930319177283377
113.0	0.6051997020838068
114.0	0.6179946572426037
115.0	0.6309774282569425
116.0	0.6447751859301508
117.0	0.6585092203666575
118.0	0.6725484555684199
119.0	0.6862204436955064
120.0	0.7001624171149345
121.0	0.7145336839184585
122.0	0.7288999199401377
123.0	0.7439117729652425
124.0	0.7585479942792632
125.0	0.7734642624493153
126.0	0.7885213925110238
127.0	0.8034393376083576
128.0	0.8187765145260975
129.0	0.8341925070260738
130.0	0.8494106221068183
131.0	0.8651988924633153
132.0	0.8808748086919433
133.0	0.896253908791724
134.0	0.9116514550916024
135.0	0.9274212792480014
136.0	0.9431206724585722
137.0	0.9585819419951523
138.0	0.974135442532222
139.0	0.990146744217175
140.0	1.0063877849397105
141.0	1.0223487788062149
142.0	1.0385982041651587
143.0	1.0550455069433342
144.0	1.0720864419792049
145.0	1.0894661163259636
146.0	1.1073388072935202
147.0	1.127123195362129
148.0	1.1482541560378823
149.0	1.1963333381293453
150.0	1.2385969364081337
