#Coverage (X)	Coverage
1.0	96.61464633232994
2.0	95.65797942849058
3.0	93.6557428762851
4.0	92.65167159451201
5.0	91.00131980434486
6.0	90.01077970454314
7.0	88.56800200376652
8.0	87.60495200131939
9.0	86.32572475108176
10.0	85.37375468913035
11.0	84.17151122738514
12.0	83.23649421469996
13.0	82.09232378925739
14.0	81.16096718750063
15.0	80.04885209102002
16.0	79.11589971461133
17.0	78.03873537326525
18.0	77.10797924341362
19.0	76.05379734731252
20.0	75.12884852109116
21.0	74.08108262616798
22.0	73.14503740816583
23.0	72.12118345609419
24.0	71.17952834988264
25.0	70.16382600956395
26.0	69.23267504887059
27.0	68.22289517117767
28.0	67.26635165197635
29.0	66.27876455784498
30.0	65.32924573736922
31.0	64.33338364684684
32.0	63.3680304644897
33.0	62.36360548008757
34.0	61.41268007473819
35.0	60.42586619100518
36.0	59.47693961679199
37.0	58.4836027985281
38.0	57.52190180145684
39.0	56.53928299541708
40.0	55.57998388596627
41.0	54.59838505960095
42.0	53.64440794087079
43.0	52.66503826363267
44.0	51.71230321692541
45.0	50.745033459857424
46.0	49.80661103116243
47.0	48.857075759401596
48.0	47.921960039005995
49.0	46.97963043010651
50.0	46.05336550107941
51.0	45.13173160879996
