#Position (bp)	mapping quality
15197.0	15.179010654500155
45590.0	37.12283462080869
75983.0	37.321048116036984
106376.0	37.010711209523144
136769.0	33.68536925863015
167162.0	27.510211252038875
197555.0	22.1115697561942
221485.0	7.87529458349566
236681.5	11.203707047440577
258341.0	31.70856195848326
288734.0	35.97334804941676
319127.0	35.06416696584039
349520.0	36.392222107652806
379913.0	36.310717806579774
410306.0	34.97277078039081
440699.0	28.269044553306774
471092.0	32.82124074091586
501485.0	27.177842930321894
531878.0	33.77261357624
562271.0	34.41034743598385
592664.0	35.212246584478926
623057.0	35.45857030904478
653450.0	32.49218038956961
683843.0	35.51714305718614
714236.0	32.46007477207914
744629.0	35.58123975719722
775022.0	34.90220920439211
805415.0	36.05377808032675
835808.0	34.105522646983076
866201.0	36.33928830675149
896594.0	34.81672181980475
926987.0	36.549686961568156
957380.0	36.71753560091877
987773.0	35.79711221188352
1018166.0	35.68028453814951
1038382.5	9.063041624324008
1053579.0	15.74608496807595
1078952.0	36.40854872731785
1109345.0	37.92887592125955
1139738.0	32.246286707512354
1170131.0	35.44828581693141
1200524.0	33.84203086550106
1230917.0	31.224717502301832
1261310.0	37.625673455800154
1291703.0	37.34060595846696
1322096.0	34.5749528638294
1348657.5	21.09284370648687
1363854.0	5.13067857604784
1382882.0	21.500418676480912
1413275.0	34.5980733739184
1443668.0	35.4577068698702
1474061.0	34.395937419094835
1504454.0	34.36807443123274
1534847.0	36.096020255617
1565240.0	34.09430197336219
1595633.0	33.4277208780697
1626026.0	35.58782567809809
1656419.0	35.79234739972306
1686812.0	35.018246049249264
1717205.0	36.39367936202675
1747598.0	32.37997542179469
1777991.0	35.6238329007551
1808384.0	34.314278280554234
1838777.0	31.845230886418623
1869170.0	22.305655870160894
1899563.0	16.52407643312102
1929956.0	34.80054098098119
1960349.0	32.990255507955936
1990742.0	34.85375131363362
2021135.0	21.39710569814836
2051528.0	35.91740745590425
2081921.0	35.192033589401554
2112314.0	27.75165759206927
2142707.0	35.264519769600135
2173100.0	31.05480439773422
2203493.0	35.87625480559838
2233886.0	19.478747429124493
2264279.0	34.79248797816575
2294672.0	35.40767755369737
2325065.0	35.36133722677617
2355458.0	18.33178553480191
2385851.0	33.98166969147005
2416244.0	35.966993660394806
2446637.0	22.529050935745442
2477030.0	35.374144071760064
2507423.0	26.324595530571862
2537816.0	34.08490733140903
2568209.0	20.507622235931336
2598602.0	29.201751159236327
2628995.0	36.11852035186503
2659388.0	31.042495234353012
2689781.0	36.1946671297046
2720174.0	33.99127837765004
2750567.0	35.43771708309273
2780960.0	36.81351818514348
2811353.0	35.131438842625236
2841746.0	35.92261335582695
2872139.0	24.490484931601326
2889645.5	0.7909374231446875
2904842.0	7.02068601459431
2932925.0	36.337986271495936
2963318.0	35.43731983691482
2993711.0	35.87452728444874
3024104.0	35.88385396440758
3054497.0	36.14326444877932
3084890.0	31.754717404561532
3115283.0	30.838545309721585
3145676.0	35.66831757466607
3176069.0	36.88356508158393
3206462.0	34.32247514328047
3236855.0	35.28726519106388
3267248.0	36.40259483695302
3297641.0	30.85201845063795
3322340.5	27.045214105793452
3337537.0	22.232821341956345
3358427.0	32.47671768153696
3388820.0	34.52218700475436
3410819.5	30.977379830348728
3426016.0	13.97127156275872
3449606.0	28.93695903076597
3479999.0	35.206787005497
3510392.0	35.7464401176431
3540785.0	35.85663385804527
3571178.0	35.580598261850774
3601571.0	35.99291132886285
3631964.0	36.001520203048386
3662357.0	36.339058343278815
3692750.0	33.37570877089418
3723143.0	35.167432300383005
3753536.0	36.55976377675416
3783929.0	33.91254055641357
3814322.0	35.48204801932419
3844715.0	33.98285485714007
3875108.0	30.106353444800053
3905501.0	32.105034301688406
3935894.0	36.08365007787662
3966287.0	35.60038722007734
3987990.0	17.425120700999276
4003186.5	9.966221160042009
4027073.0	35.63910051618792
4057466.0	37.07125322016554
4087859.0	35.77096505914575
4118252.0	31.834258457216436
4148645.0	30.01769818665888
4179038.0	36.489342365098246
4209431.0	35.332641630361906
4239824.0	36.53932088989245
4259839.0	33.9558641457732
4275035.5	25.023872497159203
4300610.0	35.767598396132186
4331003.0	36.064484629823035
4361396.0	36.23210632987069
4391789.0	35.49218607269298
4422182.0	35.25306907110096
4452575.0	35.880827260932364
4482968.0	35.06050713931883
4513361.0	33.8885778737969
4543754.0	36.07246236776923
4574147.0	35.47437257354971
4604540.0	34.53124898567346
4634933.0	34.855232754447414
4665326.0	31.476973481459126
4695719.0	35.64371324451672
4726112.0	37.02546366510691
4756505.0	34.92611190723219
4786898.0	31.4000155029919
4817291.0	18.12912478011081
4847684.0	25.016982430112286
4878077.0	35.933900278986954
4908470.0	35.087562331583825
4938863.0	35.58750957984429
4969256.0	25.368519736493152
4999649.0	34.79863669669856
5030042.0	33.69082427348319
5060435.0	35.686829178190244
5090828.0	17.657925213142075
5121221.0	35.56115794987621
5151614.0	33.68310768644476
5182007.0	35.8450180856561
5212400.0	35.363385990077326
5242793.0	36.289066336918495
5273186.0	34.64989002595797
5303579.0	35.9487032311301
5333972.0	26.278622955151796
5352383.0	0.7751380920545912
5367579.5	23.251087914445137
5394758.0	35.96531536799326
5425151.0	36.057214234527976
5455544.0	32.472751112895246
5485937.0	35.99156680186118
5516330.0	36.20554557001871
5546723.0	35.730541279856155
5577116.0	31.801880051727
5607509.0	35.23332581065287
5637902.0	34.042005773548595
5668295.0	35.82244350881732
