#Position (bp)	insert size
15197.0	217.13019920318726
45590.0	210.62104187946883
75983.0	212.1186375072576
106376.0	214.38876804429503
136769.0	213.05193236714976
167162.0	213.47600083839865
197555.0	232.10745501285348
221485.0	211.38625109233905
236681.5	238.07454509880648
258341.0	213.36455440545316
288734.0	211.3740119529593
319127.0	210.54143506821626
349520.0	211.98718844630795
379913.0	212.95873097755998
410306.0	212.3463182897862
440699.0	212.785505289219
471092.0	216.64939965694683
501485.0	212.6690629011553
531878.0	214.00216919739697
562271.0	214.72669826224327
592664.0	213.27723132969035
623057.0	214.03146473779384
653450.0	211.15731246627092
683843.0	210.56205216394383
714236.0	210.2613953488372
744629.0	213.64482501861505
775022.0	214.25271059216013
805415.0	213.44969083754918
835808.0	213.0649849191116
866201.0	211.50550795593637
896594.0	211.8186924286677
926987.0	212.12494382022473
957380.0	211.9484110606686
987773.0	213.84796573875803
1018166.0	212.5077765607886
1038382.5	211.60507246376812
1053579.0	211.1133261494253
1078952.0	211.1280385078219
1109345.0	209.1791504539559
1139738.0	216.75656697009103
1170131.0	216.56810284920084
1200524.0	216.1498447204969
1230917.0	212.94494277760595
1261310.0	212.1676480775892
1291703.0	210.62433606953164
1322096.0	223.0650112866817
1348657.5	214.9060218978102
1363854.0	210.92939878654164
1382882.0	212.83422698838248
1413275.0	211.3377067883628
1443668.0	213.68992456896552
1474061.0	211.0717680608365
1504454.0	212.361914893617
1534847.0	211.67100325243933
1565240.0	211.73380829015545
1595633.0	211.12589451364963
1626026.0	213.36686009026434
1656419.0	212.54208494208495
1686812.0	216.37705544933078
1717205.0	211.97455912113327
1747598.0	222.1515923566879
1777991.0	212.92487046632124
1808384.0	214.6516806722689
1838777.0	213.19940029985008
1869170.0	218.7061873487729
1899563.0	209.67350464262577
1929956.0	215.92380098610488
1960349.0	214.48068669527896
1990742.0	215.55199342375667
2021135.0	216.47847392369619
2051528.0	210.97216764898494
2081921.0	216.08494031221304
2112314.0	223.54395933014354
2142707.0	213.80534709193245
2173100.0	213.1582008530438
2203493.0	216.7635991820041
2233886.0	215.70840364495444
2264279.0	214.82859720342805
2294672.0	212.08111988514
2325065.0	215.17509727626458
2355458.0	213.65581395348838
2385851.0	215.23152227116984
2416244.0	211.5146750524109
2446637.0	214.57797330097088
2477030.0	216.2695174578266
2507423.0	213.54662623199394
2537816.0	213.14404248257551
2568209.0	216.8038418913927
2598602.0	213.45514474061335
2628995.0	212.45473012188043
2659388.0	222.80798122065727
2689781.0	211.81783885745082
2720174.0	214.868661971831
2750567.0	212.74146981627297
2780960.0	212.65958299919808
2811353.0	214.2025518341308
2841746.0	212.0270929948743
2872139.0	215.3606338615513
2889645.5	211.04095563139933
2904842.0	216.97846889952154
2932925.0	214.2220194647202
2963318.0	214.04806333050607
2993711.0	212.98094449047224
3024104.0	211.94436437013547
3054497.0	211.86287223823246
3084890.0	212.89215162840364
3115283.0	211.33896457765667
3145676.0	211.22423025435074
3176069.0	212.71673923560715
3206462.0	212.19932289462548
3236855.0	214.51176014474024
3267248.0	212.88251797299668
3297641.0	220.00143907898945
3322340.5	212.09380442896241
3337537.0	230.25
3358427.0	230.3125
3388820.0	234.44444444444446
3410819.5	225.5
3426016.0	210.7031914893617
3449606.0	211.3884208639541
3479999.0	212.78806306306305
3510392.0	213.29787234042553
3540785.0	213.05835380835381
3571178.0	212.98667533311666
3601571.0	214.42522996057818
3631964.0	213.7750945592086
3662357.0	212.07427701674277
3692750.0	211.72901678657075
3723143.0	213.6978978978979
3753536.0	211.2553775743707
3783929.0	212.29871323529412
3814322.0	213.1058328322309
3844715.0	215.20306888671237
3875108.0	211.94648166501486
3905501.0	213.98249201277955
3935894.0	212.5873610439826
3966287.0	213.15041179020372
3987990.0	209.80865154290547
4003186.5	211.37013122266194
4027073.0	209.19811320754718
4057466.0	211.50112697220135
4087859.0	212.055316091954
4118252.0	213.56056338028168
4148645.0	215.01414743112434
4179038.0	211.61557326793377
4209431.0	210.80062881449973
4239824.0	210.98947883533154
4259839.0	216.78336221837088
4275035.5	213.42771982116244
4300610.0	212.0674891146589
4331003.0	212.9077709611452
4361396.0	212.15520833333332
4391789.0	212.3767987602391
4422182.0	213.02860658258996
4452575.0	214.7890603085554
4482968.0	212.8771033653846
4513361.0	213.9244872591672
4543754.0	213.5033163265306
4574147.0	213.00356333009395
4604540.0	215.83438485804416
4634933.0	211.525079733256
4665326.0	211.9635780885781
4695719.0	210.34380334585182
4726112.0	210.71868530020703
4756505.0	212.04444444444445
4786898.0	216.81549636803874
4817291.0	214.7081225033289
4847684.0	215.68523592085236
4878077.0	211.28710247349824
4908470.0	212.74429065743945
4938863.0	212.75435877566835
4969256.0	214.1470189701897
4999649.0	214.34876435781413
5030042.0	211.51875196974473
5060435.0	214.23152364273204
5090828.0	214.15906210392902
5121221.0	212.37920489296636
5151614.0	212.73775538762945
5182007.0	214.66710114702815
5212400.0	213.4571518588532
5242793.0	211.89673550966023
5273186.0	209.98938934603726
5303579.0	212.52526839486777
5333972.0	211.4485134155185
5352383.0	208.93743409490335
5367579.5	212.30467591968738
5394758.0	212.68048806824316
5425151.0	213.54053035063467
5455544.0	215.65637962502075
5485937.0	211.70668595306975
5516330.0	213.45155131264917
5546723.0	211.56006951987834
5577116.0	213.3034418169047
5607509.0	213.74338983050848
5637902.0	212.50358680057388
5668295.0	212.61159420289854
5698688.0	211.03610370729342
5729081.0	212.1644160151623
5759474.0	214.57348029392116
5789867.0	212.55376479476203
5820260.0	211.07150739351135
5850653.0	211.82466181061395
5881046.0	222.4736667770785
5907241.5	210.02520074119826
5922438.0	213.41320520768753
5941832.0	211.9143854492008
5972225.0	214.21734265734267
6002618.0	212.25505105366065
6033011.0	213.06388557806912
6063404.0	211.3236384374109
6093797.0	213.33036169128886
6124190.0	214.23059725327371
