#Duplication rate	Coverage
1.0	440452.0
2.0	486959.0
3.0	95732.0
4.0	175932.0
5.0	39757.0
6.0	76155.0
7.0	20070.0
8.0	36446.0
9.0	11360.0
10.0	18882.0
11.0	6701.0
12.0	10540.0
13.0	4327.0
14.0	6277.0
15.0	2798.0
16.0	3841.0
17.0	1942.0
18.0	2422.0
19.0	1307.0
20.0	1646.0
21.0	986.0
22.0	1110.0
23.0	685.0
24.0	862.0
25.0	565.0
26.0	610.0
27.0	408.0
28.0	445.0
29.0	342.0
30.0	363.0
31.0	260.0
32.0	275.0
33.0	231.0
34.0	238.0
35.0	173.0
36.0	156.0
37.0	117.0
38.0	156.0
39.0	103.0
40.0	122.0
41.0	102.0
42.0	119.0
43.0	84.0
44.0	82.0
45.0	82.0
46.0	76.0
47.0	74.0
48.0	58.0
49.0	60.0
50.0	1771.0
