#Position (bp)	Coverage	Std
15197.0	47.5187707695851	21.86836258473263
45590.0	40.826868028822425	15.383760470186093
75983.0	37.92363373145132	15.407650152327907
106376.0	39.93231994209193	14.666815847986376
136769.0	38.77567202974369	15.904371547380066
167162.0	49.05866482413714	16.44965018918918
197555.0	47.08824400355345	19.830636335374212
221485.0	48.5351233755081	17.465352266675005
236681.5	59.44731548816339	22.448428010907936
258341.0	52.20642911196657	19.67146006105718
288734.0	46.801928075543714	17.76314626732499
319127.0	41.19968413779489	13.179539442949931
349520.0	39.8659888790182	14.42303093231917
379913.0	35.09844372059356	12.096618026133884
410306.0	35.566183002665085	13.488888764217851
440699.0	36.67186523212582	15.26514689209008
471092.0	34.40325074852762	13.536953254405876
501485.0	35.8778008093969	16.62179627696828
531878.0	32.030961076563685	11.28789366015612
562271.0	33.15677952160037	12.11222596524081
592664.0	30.03066495574639	11.134102984431369
623057.0	29.532194913302405	12.167205824473402
653450.0	30.933405718422005	13.53194052133778
683843.0	31.592800973908467	12.45355666476346
714236.0	25.981081170006252	16.100743319662662
744629.0	34.38459513703813	12.05626130467469
775022.0	31.821175928667785	13.641938671064926
805415.0	34.03968018951732	11.82829507883881
835808.0	33.928404566841046	15.054170164813678
866201.0	36.19451847464877	11.924473605693269
896594.0	36.60517224360873	13.144479831766196
926987.0	38.94962655874708	15.617841959253482
957380.0	43.209390320139505	15.628973024971485
987773.0	48.3270489915441	14.536470879195175
1018166.0	50.59665054453328	18.381892063797352
1038382.5	52.197509960159366	19.432591119291367
1053579.0	57.67935930821009	34.128124548188005
1078952.0	42.64564208863883	16.49665035408538
1109345.0	37.13990063501464	13.50717293120799
1139738.0	32.66742341986642	16.7579113221102
1170131.0	37.07863652814793	12.98014347509155
1200524.0	35.523146777218436	17.383194989282117
1230917.0	41.006119830224065	14.213459796175178
1261310.0	40.960023689665384	16.21368531878211
1291703.0	44.33139209686441	14.68561289173823
1322096.0	53.194617181587866	19.429273285823825
1348657.5	56.54654641443027	21.20947729126684
1363854.0	59.24259428422289	18.74112256675107
1382882.0	52.892113315566085	20.449007611188215
1413275.0	43.782713124732666	15.52122735699262
1443668.0	43.659658473990724	16.1336952003344
1474061.0	40.40410620866647	13.416757326538114
1504454.0	40.990326719968415	16.43847336906598
1534847.0	38.01717500740302	13.045221504429438
1565240.0	35.52117263843648	13.703521331786634
1595633.0	34.936136610403715	14.23815767846829
1626026.0	35.10811700062514	11.327422439729553
1656419.0	32.98321982035337	13.735862010646946
1686812.0	32.331063073734086	12.260834758010898
1717205.0	30.11637548119633	11.394894264808073
1747598.0	32.58339091238114	12.932580442049193
1777991.0	30.927976836771624	13.505247203833523
1808384.0	31.32319942091929	12.86610801417822
1838777.0	33.28891521073931	12.48139206562702
1869170.0	36.68709900305991	17.671927149571022
1899563.0	39.05238048234791	17.99641511880314
1929956.0	30.770901194353964	14.108796489677232
1960349.0	30.439410390550456	12.115445894281146
1990742.0	29.961471391438817	14.488483871902982
2021135.0	36.95291679005034	16.68036353582548
2051528.0	34.940611324976146	14.297838672394036
2081921.0	32.07126641002863	11.499583349031797
2112314.0	30.752574605994802	12.722960383597082
2142707.0	32.00207284572105	11.237611581611032
2173100.0	32.53518902378837	13.548667108485
2203493.0	31.587635310762348	12.640113943528336
2233886.0	35.81577994933044	18.807828490530238
2264279.0	30.396374165103808	11.12899393349506
2294672.0	31.334517816602506	11.919693668904852
2325065.0	30.823643602145232	13.220318589606679
2355458.0	37.71296022110354	20.851301105832075
2385851.0	33.16490639291942	12.534005992571863
2416244.0	32.88724377323726	14.024385228653953
2446637.0	37.700095416707796	17.820947999727423
2477030.0	33.38673378738525	12.30066876814369
2507423.0	31.056164248346658	11.724007036827137
2537816.0	30.93748560523805	13.770814923767567
2568209.0	37.41226598229856	16.23956148890794
2598602.0	32.36939426841707	12.545300404323728
2628995.0	33.506465304510904	11.64399138836174
2659388.0	36.494094034810644	13.048235153758386
2689781.0	37.825486131675056	15.169270516600028
2720174.0	39.1837594182871	12.778034127140907
2750567.0	38.28026190241174	12.787797038624085
2780960.0	37.77965320962063	14.060156022089934
2811353.0	39.15908268351265	13.20984170019525
2841746.0	44.25815154805383	14.299785362566018
2872139.0	56.12854933701839	22.75599027964023
2889645.5	74.08246753246753	21.37411551042086
2904842.0	49.55767663834245	20.09168639852199
2932925.0	45.88392063962097	17.602338825166033
2963318.0	40.3455071891554	14.604023353450138
2993711.0	37.70407659658474	14.159762175622879
3024104.0	34.379528180831116	12.436908855183495
3054497.0	36.82726285657882	14.832321552700835
3084890.0	37.45069588392064	14.240523797038382
3115283.0	35.797716579475534	13.551555446488345
3145676.0	35.57717237521798	14.367010224541854
3176069.0	36.230941335175864	13.989193294693269
3206462.0	40.69986510051657	15.821327836289202
3236855.0	41.59286677853453	15.41387907741187
3267248.0	43.06103379067549	14.232219854701656
3297641.0	49.145987562925676	14.487220044990956
3322340.5	55.53835630853415	19.34849758052528
3337537.0	54.95802230613858	82.84648613679833
3358427.0	0.33734741552331127	1.8483982756175215
3388820.0	31.656499851939593	63.12499852998327
3410819.5	113.81317066000294	150.7977156690608
3426016.0	51.691010901292664	17.919715982269608
3449606.0	43.719409074457936	16.29978586105486
3479999.0	41.18129174480966	13.892934231385231
3510392.0	38.370874872503535	15.304418196478697
3540785.0	34.90941993222123	16.606017376687948
3571178.0	35.19395913532721	13.296066268339981
3601571.0	33.46461356233343	12.889981142672564
3631964.0	31.562234725101174	12.241413431865519
3662357.0	34.2548942190636	11.901230690236346
3692750.0	32.88954693514954	13.487782534409499
3723143.0	33.76507748494719	14.035195312696397
3753536.0	30.763267857730398	12.95597936766328
3783929.0	35.783897608001844	14.873376206415957
3814322.0	37.47514230250387	14.27189662232858
3844715.0	37.5928338762215	15.40714190612674
3875108.0	45.199289310038495	18.516319241191006
3905501.0	42.77866614022966	18.447813353451192
3935894.0	47.03852860856118	15.670170371219141
3966287.0	52.26374494126937	17.519819236163503
3987990.0	57.273649427495585	18.204141371761285
4003186.5	49.75368239355581	19.083494093992403
4027073.0	45.17839634126279	17.109260042227934
4057466.0	40.29019840094759	13.955763456807244
4087859.0	39.341328595400256	15.482102218138312
4118252.0	38.12285723686375	13.186477800714423
4148645.0	40.110156944033164	14.945640102140551
4179038.0	41.59793373474155	14.72745521211906
4209431.0	40.432961537196064	14.533592640488012
4239824.0	46.7904122659823	16.1523455277586
4259839.0	56.79412680294698	20.87675879532237
4275035.5	54.39877625746772	19.30026780259484
4300610.0	50.144967591221665	15.628760397038972
4331003.0	50.01174612575264	17.60282107247224
4361396.0	42.92958905011022	16.954993930075222
4391789.0	40.910209587734016	15.944163998482404
4422182.0	36.27414207218767	12.99978233672235
4452575.0	36.55078472016583	14.228056816140905
4482968.0	34.81489158687856	14.072826689222993
4513361.0	36.89977955450268	15.605674110900537
4543754.0	37.06060606060606	13.768909342259924
4574147.0	34.90731418418715	14.704519042406075
4604540.0	35.112032375876026	13.328331654901769
4634933.0	33.27558977396111	11.923717553906306
4665326.0	31.912578554272365	14.17567487522196
4695719.0	30.067383937090778	11.37888504096257
4726112.0	31.424045010364228	11.91866678113094
4756505.0	29.881617477708684	13.565738098470206
4786898.0	32.65817786990426	15.405188846132008
4817291.0	40.63777843582404	22.21371164311905
4847684.0	34.9578192346922	15.893891898799305
4878077.0	32.701477313855165	13.742392600665053
4908470.0	34.28207152962853	11.902781537835853
4938863.0	33.5142302503866	13.156500612763212
4969256.0	34.97361234494785	14.16373970355372
4999649.0	35.16809791728358	11.679998587003317
5030042.0	34.17609317935051	13.600124254049838
5060435.0	34.08265061033791	13.011073239678865
5090828.0	39.45510479386701	16.03149558594599
5121221.0	36.86944362188662	14.991811669558972
5151614.0	37.10838021912941	12.074958636169834
5182007.0	36.69769354785642	14.358898586284164
5212400.0	37.20007896555128	12.696539643105888
5242793.0	36.481591155858254	13.477970073201444
5273186.0	41.91300628434179	16.432531715330104
5303579.0	45.08817819892739	15.157937539251574
5333972.0	49.16069489685125	17.8036464966857
5352383.0	55.06050707730596	19.136341459993854
5367579.5	53.524995827073944	21.60433299455326
5394758.0	43.82950021386503	15.659765111441073
5425151.0	42.79103740992992	16.85878805184527
5455544.0	44.500773204356264	17.36291258379646
5485937.0	37.57819234692199	14.542501674407774
5516330.0	37.494982397262525	13.569458148823404
5546723.0	35.14651399993419	11.701118104967271
5577116.0	57.70684039087948	74.15913655309546
5607509.0	35.56519593327411	13.362556810808844
5637902.0	32.08877044056197	11.900202209262128
5668295.0	35.932616062909226	14.286696480000218
5698688.0	35.80844273352417	14.106805950986278
5729081.0	38.71085447306945	14.50895318875559
5759474.0	38.68094627052282	15.447017120038254
5789867.0	41.642647978152866	16.066983590634166
5820260.0	40.30717599447241	14.56736671243493
5850653.0	47.15793110255651	13.760488173671206
5881046.0	51.196854538874085	19.01806690194534
5907241.5	59.25706882443858	33.417397785740796
5922438.0	52.43585467540203	21.63336546839122
5941832.0	52.89859507123351	20.17157592358637
5972225.0	48.98993189221202	17.70361984161238
6002618.0	41.98104826769322	16.914732714567243
6033011.0	35.513967031882345	13.635144002752007
6063404.0	33.02247227980127	10.944151618291915
6093797.0	32.15654920540914	11.569850835677167
6124190.0	36.42884874806699	15.297172537602542
6154583.0	34.5038331194683	12.301269254923959
6184976.0	36.38160102655217	12.404136404473142
6215369.0	33.80146744316126	13.508491914294948
6245762.0	35.87556345211068	14.432018476497271
6276155.0	32.99911163754812	14.104813965030605
6306548.0	33.31125588128845	12.701582878271328
6336941.0	36.29450860395486	12.622201669845166
6367334.0	36.575066627183894	13.875472610705339
6397727.0	43.395551607277994	17.816028852837867
6428120.0	34.932813476787416	14.557512358159748
6458513.0	35.050143125061695	12.30684208572033
6488906.0	32.87444477346757	12.631169447634113
6519299.0	35.81364129898332	13.935036419843817
6549692.0	38.41568782285395	14.282079363268608
6580085.0	41.182410423452765	13.502132084312791
6610478.0	49.504063435659525	16.681444440526732
6640871.0	53.503964728720426	16.755085765904067
6660029.5	58.8909641595154	24.497545437417894
6675226.0	56.493835951755756	21.6781171421502
6701657.0	50.17191458559537	15.456346944729844
6732050.0	44.009771986970684	14.51759404879984
6762443.0	39.135985259763764	14.035652438259415
6792836.0	42.07896555127825	12.041619170262555
6823229.0	37.2912183726516	14.634539385745464
6853622.0	35.6364294409897	12.857571520132463
6884015.0	33.06409370578751	11.490432533712507
6914408.0	30.766525186720628	12.637315400525521
6944801.0	32.48873095778633	13.346660746221172
6975194.0	32.476787418155496	13.056996002360792
7005587.0	31.779488698055474	13.614425481321547
7035980.0	34.239660448129506	12.892486226439697
7066373.0	38.06438982660481	13.689319192035589
7096766.0	33.411706642977	11.57354718198809
7127159.0	35.42226828546047	13.006467492144925
7157552.0	38.0603428421018	13.447011939302564
7187945.0	35.973283321817526	14.762657985802479
7218338.0	37.2701279899977	11.870146241564898
7248731.0	45.5070575461455	15.529133357177162
7279124.0	45.534465172901655	16.564116445127365
7309517.0	53.254400684368115	17.761043805581856
7327760.5	59.32015096816541	22.06626577674239
7342957.0	56.72677887978929	23.860501931216042
7370303.0	45.683710064817554	16.746551224731252
7400696.0	42.60270457013128	16.305254268197338
7431089.0	35.08370348435495	12.715634558352335
7461482.0	36.73595893791334	14.599334186231756
7491875.0	39.78004803737703	15.061138413270369
7522268.0	40.009640377718554	12.348095858294675
7552661.0	40.75648998124568	16.088175829065456
7583054.0	37.56976935478564	14.469622887623975
7613447.0	39.205803968018955	12.797155278927475
7643840.0	39.45082749317277	14.669580475268196
7674233.0	36.74122330799855	14.103437604312779
7704626.0	36.02145230809726	11.775967545846854
7735019.0	32.33747902477544	12.425918403176714
7765412.0	29.262889481130525	11.244061301535716
7795805.0	675.5618069950317	608.4196025978466
7826198.0	45.150560984437206	61.72710385434524
7856591.0	30.920639620965353	13.38866099406128
7886984.0	35.77524429967427	13.308737555133483
7917377.0	39.45467706379758	17.09160002551656
7947770.0	34.21814233540618	11.788408342518462
7978163.0	35.69183693613661	16.676934947621373
8008556.0	32.30832757542855	14.07067906946449
8038949.0	33.00562629552858	11.37960500752693
8069342.0	32.3225084723456	12.021791705080766
8099735.0	32.055901029842396	10.526290112650443
8130128.0	25.84799131378936	15.838931364956379
8160521.0	34.00891652683184	13.149289963302415
8190914.0	38.28240055275886	13.921422627100998
8221307.0	37.887868917184875	14.312146183512974
8251700.0	40.71993551146645	14.95519691115433
8282093.0	41.58273286612049	14.809608891305695
8312486.0	46.02549929260027	15.419210361396145
8342879.0	44.6423847596486	17.577879221430727
8373272.0	53.062810515579244	16.147340864184848
8398726.5	72.19048547475141	30.838964371924884
8413923.0	51.730282474435555	23.72734367999793
8434058.0	41.44237159872339	15.240044002678161
8464451.0	38.26943704142401	14.514205422612054
8494844.0	33.57822524923502	13.255350124111246
8525237.0	35.75708222288027	13.75995017203479
8555630.0	37.12545651959333	13.30827894783113
8586023.0	42.547856414305926	20.28808005246708
8616416.0	40.15174546770638	16.312455558968043
8646809.0	33.94478991873129	13.379370969219645
8677202.0	36.939591353272135	15.65030006779495
8707595.0	33.31053203040174	12.647963478754402
8737988.0	36.774849471917875	14.411117969351826
8768381.0	36.6998980028296	17.46792068954405
8798774.0	36.408218997795544	14.214832447860399
8829167.0	29.635212055407496	12.124439778538553
8859560.0	31.164544467476063	12.250861389200995
8889953.0	31.039186654821833	10.708683962869987
8920346.0	31.501135129799625	13.342036444956063
8950739.0	30.212252821373344	12.1563220409974
8981132.0	32.98502944757016	14.718705072512813
9011525.0	32.09630507024644	10.982720191101958
9041918.0	31.27700457342151	11.966228979996623
9072311.0	34.55210081268713	13.6659973690811
9102704.0	36.02908564472082	11.504565005145647
9133097.0	36.838252229131704	13.635405816392554
9163490.0	36.19649261343073	12.546584140680846
9193883.0	36.641595104135824	13.770009713347177
9224276.0	38.221893199091895	13.698586364445328
9254669.0	41.71697430329352	16.213706626341317
9285062.0	48.21741848451946	15.399142294001717
9315455.0	46.57124995887211	15.427171841703904
9332033.5	58.40086830680173	21.87639596538135
9347230.0	58.32274059864635	22.09565885778849
9376241.0	52.282828282828284	16.351364591642433
9406634.0	47.442042575593064	16.081747743000946
9437027.0	45.640246109301486	17.39760621097459
9467420.0	38.223867337873855	12.844242543335353
9497813.0	38.91652683183628	14.311444999275755
9528206.0	33.24018688513802	11.650975812788753
9558599.0	33.92116605797388	14.136449568268889
9588992.0	32.86931201263449	12.917394450634434
9619385.0	33.68407199026092	12.932677119060221
9649778.0	31.420096732800317	11.574084475587291
9680171.0	29.776626196821635	12.044532903991465
9710564.0	29.342907906425822	11.282228720184149
9740957.0	32.84088441417432	13.374644815583444
9771350.0	32.94360543546211	12.970231083163972
9801743.0	31.742506498206826	12.40058018156955
9832136.0	30.699437370447143	12.280569653362504
9862529.0	36.678939229427826	15.177309994097362
9892922.0	38.03517257263186	13.628623583416955
9923315.0	34.89036949297535	13.852707652112757
9953708.0	37.091106504787284	12.100852262257021
9984101.0	35.650873556411014	13.277636359028588
1.0014494E7	41.71901424670154	15.459317295130905
1.0044887E7	47.322343960780444	15.665090426568954
1.007528E7	54.952061329911494	19.63902351682746
1.01041125E7	59.22103256086829	28.338694139090933
1.0119309E7	67.71803909003525	22.799658226638435
1.0136066E7	52.80209258710887	19.635765521087233
1.0166459E7	47.919257723817985	17.708664971027556
1.0196852E7	42.0707399730201	14.213539658969099
1.0227245E7	41.48070279340638	17.901352684294096
1.0257638E7	35.94761951765209	14.528243238966242
1.0288031E7	36.85773039844701	14.745028054717936
1.0318424E7	35.58276576843352	12.993229218619538
1.0348817E7	33.209521929391634	12.255133615652083
1.037921E7	36.03583061889251	12.105578334610255
1.0409603E7	35.8297634323693	14.890623279954237
1.0439996E7	34.511598065343996	12.967035645209881
1.0470389E7	33.15200868621064	12.668040696636277
1.0500782E7	31.76583423814694	12.773619965589315
1.0531175E7	32.54917250682723	13.164113470340768
1.0561568E7	31.692922712466686	12.529985093247662
1.0591961E7	32.187970914355276	11.505254228938336
1.0622354E7	32.92514723785082	13.415326315818977
1.0652747E7	33.733918994505316	13.694202238232005
1.068314E7	32.854144046326454	13.39667856638584
1.0713533E7	35.88306517948212	16.81833565802293
1.0743926E7	35.46474517158556	12.920943392016826
1.0774319E7	30.545290033889383	12.307716288393253
1.0804712E7	28.947323396834797	13.485440491674694
1.0835105E7	33.33668936926266	15.480240445175586
1.0865498E7	31.520218471358536	12.262945172414673
1.0895891E7	31.562629552857565	12.9143133266177
1.0926284E7	36.222781561543776	11.60660257954962
1.0956677E7	34.56430757082223	12.128101388357658
1.098707E7	35.54779060967986	12.575171266656636
1.1017463E7	35.02385417694864	11.818637379889571
1.1047856E7	37.24374033494555	12.233576023586785
1.1078249E7	41.13809100779785	14.246415433813363
1.1108642E7	41.23123745599316	15.707999752047094
1.1139035E7	46.94801434540848	18.850927052237676
1.1169428E7	47.36557760010529	15.925405193674031
1.1196832E7	59.84636493958632	30.59819938243868
1.12120285E7	59.373870859819334	27.558966860161235
1.1230214E7	52.46194847497779	16.6085126980531
1.1260607E7	51.32155430526766	18.08981584132446
1.1291E7	41.043233639324846	11.977354178950497
1.1321393E7	37.564866910143785	13.600916540462675
1.1351786E7	36.58378574013753	13.710499295747876
1.1382179E7	35.92929292929293	14.712550825005497
1.1412572E7	39.06116539992762	13.085970413244192
1.1442965E7	38.0951534892903	12.889272790763686
1.1473358E7	34.03675188365742	10.473036795520699
1.1503751E7	33.05435462112987	10.961828404342143
1.1534144E7	33.84894548086731	14.198554634414224
1.1564537E7	31.87411575033725	12.776803259936283
1.159493E7	32.02813147764288	10.7503549374069
1.1625323E7	31.53453097752772	12.641212365021758
1.1655716E7	35.34669167242457	15.501991788669738
1.1686109E7	32.963346823281675	14.856534332671608
1.1716502E7	30.7390517553384	13.032060469180804
1.1746895E7	30.134175632546967	9.809072943923649
1.1777288E7	29.922975685190668	13.179237366726461
1.1807681E7	31.119534103247457	12.257968413346909
1.1838074E7	29.081531931694798	11.276146604634143
1.1868467E7	30.52163327081894	11.022358328167929
1.189886E7	31.245878985292666	11.684099388825421
1.1929253E7	35.14822492021189	11.734086117845933
1.1959646E7	36.7135195604251	13.374687866412785
1.1990039E7	36.98071924456289	15.76162582819637
1.2020432E7	40.75774026914092	17.34116358067098
1.2050825E7	45.34188793472181	19.859109577511138
1.2081218E7	43.65574309873984	16.785818287703453
1.2111611E7	46.33181982693383	14.201712763317406
1.21419565E7	56.45191101722886	26.183321810125776
