#Duplication rate	Coverage
1.0	1107586.0
2.0	524933.0
3.0	148539.0
4.0	97560.0
5.0	36637.0
6.0	25255.0
7.0	11635.0
8.0	8556.0
9.0	4609.0
10.0	3352.0
11.0	2029.0
12.0	1741.0
13.0	1095.0
14.0	944.0
15.0	644.0
16.0	594.0
17.0	419.0
18.0	390.0
19.0	261.0
20.0	281.0
21.0	198.0
22.0	195.0
23.0	162.0
24.0	160.0
25.0	133.0
26.0	118.0
27.0	91.0
28.0	85.0
29.0	77.0
30.0	65.0
31.0	51.0
32.0	76.0
33.0	67.0
34.0	51.0
35.0	47.0
36.0	44.0
37.0	43.0
38.0	44.0
39.0	34.0
40.0	44.0
41.0	31.0
42.0	40.0
43.0	29.0
44.0	30.0
45.0	29.0
46.0	23.0
47.0	19.0
48.0	21.0
49.0	28.0
50.0	440.0
