#Read position (bp)	Clipping profile
0.0	1.2562814357503755
1.0	1.2097068319980813
2.0	1.1578007632680691
3.0	1.1316462989561558
4.0	1.1082347105170234
5.0	1.0872602815773513
6.0	1.0684830104982717
7.0	1.049832883144545
8.0	1.0319927613219988
9.0	1.014909787526835
10.0	0.9972268096345
11.0	0.9798081192611573
12.0	0.9625380013309234
13.0	0.9458164585752457
14.0	0.9291163445373242
15.0	0.9125433742247554
16.0	0.8963118348151006
17.0	0.8799374372870717
18.0	0.8639316137044479
19.0	0.8476086450990337
20.0	0.831612821584696
21.0	0.8160041435711519
22.0	0.8005526094878191
23.0	0.784982503166236
24.0	0.769785256533609
25.0	0.7545280094912648
26.0	0.7393464772516589
27.0	0.7244120895568401
28.0	0.7093877012474457
29.0	0.6944590278773618
30.0	0.6805832188396943
31.0	0.6674574149234904
32.0	0.6539930372667402
33.0	0.6407629469241233
34.0	0.6280942889867162
35.0	0.6153742021266945
36.0	0.6035526928312454
37.0	0.5921526149849994
38.0	0.5815268281403407
39.0	0.5711339000286316
40.0	0.5612866899291112
41.0	0.5512451927886022
42.0	0.5416136984478266
43.0	0.5322407773013078
44.0	0.5234807174826136
45.0	0.5154249481875034
46.0	0.5071434630653621
47.0	0.499223408982707
48.0	0.49147478464210087
49.0	0.4840404481619175
50.0	0.4766946837151259
51.0	0.46957177793299787
52.0	0.46272744548169914
53.0	0.45623597258278425
54.0	0.45021736005568724
55.0	0.44434017706578055
56.0	0.438830139440095
57.0	0.4337115330587543
58.0	0.42839292531168993
59.0	0.4235971782778745
60.0	0.4191485764717079
61.0	0.4146814031101526
62.0	0.41066423282147557
63.0	0.407039922358327
64.0	0.4038270432760955
65.0	0.4008284513714251
66.0	0.39797700332867986
67.0	0.39570698782771685
68.0	0.39368840261509214
69.0	0.39169696044495844
70.0	0.389995520255124
71.0	0.38862265373754984
72.0	0.38773550482244723
73.0	0.38673406941264543
74.0	0.3862683519467462
75.0	0.3860940650423299
76.0	0.3862983521516047
77.0	0.38675978387395277
78.0	0.3876697900879952
79.0	0.38851836731113676
80.0	0.38990694822173216
81.0	0.3914612445496414
82.0	0.3933298287379734
83.0	0.3954241287533363
84.0	0.3976055722209075
85.0	0.4004941633744299
86.0	0.4035827558936759
87.0	0.40677277767696757
88.0	0.4103670879352576
89.0	0.4142428286867445
90.0	0.4188385743548363
91.0	0.42324003298193946
92.0	0.4279400650764444
93.0	0.4332386726869364
94.0	0.43837013629893073
95.0	0.4439987461628666
96.0	0.4499559296990628
97.0	0.45602311398640694
98.0	0.4624674437062585
99.0	0.4692374899360027
100.0	0.47622039476212424
101.0	0.48355330197826213
102.0	0.4909433524417495
103.0	0.49861340481725
104.0	0.5064606012595343
105.0	0.5146220855622414
106.0	0.522807855745072
107.0	0.5315279152906216
108.0	0.5408879792064866
109.0	0.5505994740935517
110.0	0.5603666836467825
111.0	0.5703638947705958
112.0	0.5808153947108382
113.0	0.5915197535206026
114.0	0.6027184014199412
115.0	0.6146313399111497
116.0	0.6273042835921079
117.0	0.6398915124020418
118.0	0.6532044604533157
119.0	0.66644883660777
120.0	0.6795317830884616
121.0	0.6933104486056347
122.0	0.7081376927116732
123.0	0.7231092235172691
124.0	0.7380878972287839
125.0	0.7531179998629133
126.0	0.7684566760327307
127.0	0.7835510648201283
128.0	0.7990540278260757
129.0	0.8144598473115288
130.0	0.8300728110686242
131.0	0.8461400636421489
132.0	0.8621801731731824
133.0	0.8782945689257706
134.0	0.8946832522656369
135.0	0.910984792153295
136.0	0.9274906191502279
137.0	0.9441864474445982
138.0	0.9607494176888809
139.0	0.9777895340485325
140.0	0.9951396525250558
141.0	1.012534057018275
142.0	1.0297313173081382
143.0	1.0471900079546257
144.0	1.0655115616360924
145.0	1.0841974035194126
146.0	1.1039061095302907
147.0	1.125263398227205
148.0	1.1494221346254336
149.0	1.2020496368532345
150.0	1.24952996107602
