#Duplication rate	Coverage
1.0	1545507.0
2.0	753008.0
3.0	278837.0
4.0	165929.0
5.0	78991.0
6.0	49971.0
7.0	28293.0
8.0	18603.0
9.0	11777.0
10.0	8361.0
11.0	5501.0
12.0	4104.0
13.0	3023.0
14.0	2370.0
15.0	1584.0
16.0	1456.0
17.0	1089.0
18.0	948.0
19.0	710.0
20.0	649.0
21.0	507.0
22.0	460.0
23.0	377.0
24.0	369.0
25.0	321.0
26.0	301.0
27.0	237.0
28.0	242.0
29.0	211.0
30.0	168.0
31.0	162.0
32.0	159.0
33.0	129.0
34.0	131.0
35.0	135.0
36.0	125.0
37.0	88.0
38.0	114.0
39.0	87.0
40.0	89.0
41.0	84.0
42.0	86.0
43.0	69.0
44.0	57.0
45.0	55.0
46.0	63.0
47.0	59.0
48.0	72.0
49.0	39.0
50.0	1221.0
