#Read position (bp)	Clipping profile
0.0	0.9422929465664537
1.0	0.9175545199260597
2.0	0.8926272959057975
3.0	0.8797920590135536
4.0	0.869172392954628
5.0	0.8598444591666601
6.0	0.8514515574615982
7.0	0.8431504426250099
8.0	0.8348844008194642
9.0	0.8267332791581863
10.0	0.8184806695772954
11.0	0.8102825351297261
12.0	0.8019881364054652
13.0	0.7936795592218465
14.0	0.7854500829167497
15.0	0.7774877586353403
16.0	0.7695403590479917
17.0	0.7614638608570176
18.0	0.753498551636796
19.0	0.7455921949581145
20.0	0.7372500372128591
21.0	0.7289086257023067
22.0	0.7204105049041164
23.0	0.7118922357689441
24.0	0.7035418694419553
25.0	0.6953079157286404
26.0	0.6870396352189856
27.0	0.6791870074389228
28.0	0.6711202102990881
29.0	0.6629213296168158
30.0	0.6555798726083336
31.0	0.6485667588691879
32.0	0.6415058861090477
33.0	0.6344897874310899
34.0	0.6274781661613501
35.0	0.6208329461308018
36.0	0.6155869161684486
37.0	0.611148312154782
38.0	0.6072761002807208
39.0	0.6038322271262031
40.0	0.6006144630867057
41.0	0.5972676004435828
42.0	0.5942147542734566
43.0	0.5917723280904152
44.0	0.589394824326538
45.0	0.5865598786896987
46.0	0.5841204374454694
47.0	0.5819533718678487
48.0	0.5798519749440952
49.0	0.5779080335426827
50.0	0.5758364860070508
51.0	0.573907469299699
52.0	0.5720605384096814
53.0	0.5704404628693872
54.0	0.5695158780723238
55.0	0.5682069824031962
56.0	0.5665167608008165
57.0	0.5653242777453626
58.0	0.5643720822642868
59.0	0.5631773605047239
60.0	0.5621453179104232
61.0	0.5610938732138434
62.0	0.5600543682725122
63.0	0.5589902375859809
64.0	0.5587029372253115
65.0	0.5580514743295598
66.0	0.5571298744713086
67.0	0.5566246735773522
68.0	0.5561717091126085
69.0	0.5555538267784935
70.0	0.5553299563675823
71.0	0.554885946719275
72.0	0.5545874528380601
73.0	0.5541367270774255
74.0	0.5541941871495594
75.0	0.5543688060700701
76.0	0.5542777654362995
77.0	0.5542814966098147
78.0	0.5545867066033571
79.0	0.5548971402398206
80.0	0.5553620444598129
81.0	0.5557127747702405
82.0	0.5563202098185129
83.0	0.5567552646503838
84.0	0.5572298699215156
85.0	0.5580798312482752
86.0	0.5588029326755185
87.0	0.5591626178023825
88.0	0.5601633185391557
89.0	0.5611923761946443
90.0	0.5623699345560373
91.0	0.5634101857320716
92.0	0.5646795309619382
93.0	0.5657048574439116
94.0	0.5667376462729155
95.0	0.5683935410789556
96.0	0.5698046709023993
97.0	0.5707031374848565
98.0	0.5723978364954544
99.0	0.574143279465859
100.0	0.5760939369795988
101.0	0.5781236953718606
102.0	0.5800691292426792
103.0	0.5821317219618747
104.0	0.5842487898143918
105.0	0.5867061406914941
106.0	0.5895127294096179
107.0	0.5918663536629979
108.0	0.5943662399181733
109.0	0.5974638601704816
110.0	0.6006778930364639
111.0	0.6039598332604225
112.0	0.6073313216487456
113.0	0.6112206969209767
114.0	0.61553318726983
115.0	0.6207075787006915
116.0	0.627274444087421
117.0	0.6343233770923125
118.0	0.6412708221775909
119.0	0.6482966219066884
120.0	0.6552895873088521
121.0	0.6625982099904006
122.0	0.6707553015293027
123.0	0.6789220941193445
124.0	0.6868463604308989
125.0	0.695061658276638
126.0	0.7032583002548011
127.0	0.7117213480219485
128.0	0.7201717097991445
129.0	0.728714604679517
130.0	0.7369739303727353
131.0	0.7453907115882944
132.0	0.7533455735226733
133.0	0.7612817795894764
134.0	0.7692329103503402
135.0	0.7771944883970465
136.0	0.7852157652199959
137.0	0.7933810653406315
138.0	0.8016903887589532
139.0	0.8100019508813842
140.0	0.8181232231545404
141.0	0.826387026255977
142.0	0.8345291931008183
143.0	0.8427124028543268
144.0	0.8510836637530007
145.0	0.8594989524991539
146.0	0.8681485589420607
147.0	0.8779473668276451
148.0	0.8895722110315623
149.0	0.9147919590554152
150.0	0.939929621261934
