#Coverage (X)	Coverage
1.0	94.62529936197804
2.0	89.23371970547265
3.0	79.2691681119806
4.0	69.30607245721741
5.0	57.42885333309205
6.0	46.934751324431275
7.0	36.68537863249516
8.0	28.489998235599685
9.0	21.3472615396511
10.0	15.91591090148519
11.0	11.520201561144702
12.0	8.33995429010443
13.0	5.955151329202138
14.0	4.248050831180606
15.0	3.0128636710795718
16.0	2.1467035120614497
17.0	1.5420941087536733
18.0	1.1289365354662806
19.0	0.8313081115939838
20.0	0.6328727110607133
21.0	0.4847288889912278
22.0	0.387337281367536
23.0	0.32375306456592057
24.0	0.2810537541626559
25.0	0.2501664664407883
26.0	0.22848367271646453
27.0	0.21355413151401592
28.0	0.20362578097332573
29.0	0.19493127681300848
30.0	0.18856462949031538
31.0	0.18455051593285532
32.0	0.18073381779625208
33.0	0.17801113011691427
34.0	0.1757902066322572
35.0	0.1735528318625228
36.0	0.17171851357704782
37.0	0.16976903629606
38.0	0.16812390778889608
39.0	0.16698876911895866
40.0	0.1658207278788808
41.0	0.16467736356641183
42.0	0.16302400941671635
43.0	0.1618559681766385
44.0	0.16084421414473127
45.0	0.15981600882776092
46.0	0.15887005993614878
47.0	0.15784185461917843
48.0	0.1565257518134473
49.0	0.1557525414150831
50.0	0.15469965917050388
51.0	0.15382774106170416
