#Coverage (X)	Coverage
1.0	97.45699325620697
2.0	96.05034257744751
3.0	94.2335531362113
4.0	93.09313360376504
5.0	91.74586383847141
6.0	90.74917918369546
7.0	89.59858453143244
8.0	88.7138919997812
9.0	87.73444829176024
10.0	86.93306506771142
11.0	86.05680381965936
12.0	85.29068392516146
13.0	84.46353798869056
14.0	83.72562382244786
15.0	82.94056849883258
16.0	82.22820317830602
17.0	81.48363446725186
18.0	80.80079097778624
19.0	80.09251380159996
20.0	79.42498645853597
21.0	78.74228280499345
22.0	78.09179076762106
23.0	77.41042789381189
24.0	76.77655165436178
25.0	76.10607130562744
26.0	75.47676029778471
27.0	74.84227536078696
28.0	74.21848375908573
29.0	73.57284485080946
30.0	72.96148219497981
31.0	72.33437565933666
32.0	71.7271751786301
33.0	71.1062625518164
34.0	70.51624543836711
35.0	69.89344091377018
36.0	69.29412882425544
37.0	68.68944539016485
38.0	68.10069502566606
39.0	67.49666964297833
40.0	66.92400863527953
41.0	66.32650618712267
42.0	65.74685338326847
43.0	65.15671288518114
44.0	64.5745677116386
45.0	63.99722631333694
46.0	63.42499303905001
47.0	62.84431202987883
48.0	62.27838782341685
49.0	61.69576556260722
50.0	61.125777888732564
51.0	60.557460020292666
