#Position (bp)	Coverage	Std
15197.0	130.95854308557892	181.59160164621636
45590.0	127.05073536669627	85.9242530633912
75983.0	102.07162833547198	70.61073333537225
106376.0	95.80811371039384	66.50436194912425
136769.0	82.46382390682065	62.355557171356935
167162.0	123.25818445036685	85.99372748089232
197555.0	123.6379429473892	127.22956478648959
221485.0	126.16774489036469	104.13566778309722
236681.5	169.57063283304967	146.06881976763157
258341.0	111.5306814069029	85.63416306506903
288734.0	119.37910045076168	91.05949161795417
319127.0	98.25752640410622	73.93641786528639
349520.0	86.78860263876551	63.097301866609556
379913.0	71.42983581745797	55.07189332149759
410306.0	75.73286612048827	54.71531897338226
440699.0	81.63123087553055	66.71292887009199
471092.0	55.649360050011516	45.8933099740234
501485.0	77.58796433389267	63.01032499649758
531878.0	68.23232323232324	50.61833890993708
562271.0	55.8734577040766	45.706792141787936
592664.0	61.859309709472576	52.24935027367003
623057.0	59.708419701905044	48.10567797136417
653450.0	74.6684104892574	57.40195556782506
683843.0	68.31234165761853	50.248280026704286
714236.0	64.24321389793703	60.99530557624377
744629.0	63.31049912808871	50.619921654085154
775022.0	59.58431217714605	45.69212956057614
805415.0	81.16168196624223	68.90127942249924
835808.0	76.33728161089725	60.404787837629875
866201.0	88.81133813707103	66.66791159631217
896594.0	94.70832099496594	66.72269903694877
926987.0	102.87549764748462	73.88665899374475
957380.0	118.81831342743395	92.92553666631224
987773.0	118.48211759286679	90.50992718314595
1018166.0	147.08673049715395	104.28717289750689
1038382.5	147.19133466135457	117.80588902953808
1053579.0	138.6689431533435	148.78425977687533
1078952.0	109.18984634619814	79.74142996964909
1109345.0	131.769947027276	80.04689528852951
1139738.0	77.70381337808048	70.43767104273668
1170131.0	57.34563879840753	49.021191557618096
1200524.0	57.579705853321485	56.54188593366872
1230917.0	72.54486230381995	61.62577242784597
1261310.0	111.21004836640016	70.72010232388631
1291703.0	127.89092883229691	90.23631095021847
1322096.0	122.22363702168262	113.74237876451112
1348657.5	113.95054993400792	102.5079568338687
1363854.0	123.72556440036539	99.64431524289007
1382882.0	125.44158194321061	107.6093135078654
1413275.0	127.09048136083966	100.80997701516475
1443668.0	95.42819070180634	75.29898334880494
1474061.0	106.69841739874313	71.12849539093891
1504454.0	94.08840851511862	73.14059816313444
1534847.0	83.29000098706939	65.1088367972599
1565240.0	92.12904287171388	64.37894994125368
1595633.0	74.9181719474879	57.62227339271927
1626026.0	71.85506531109137	55.18233014377043
