#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	8.260052897378755E-7
5.0	0.0
6.0	8.260052897378755E-7
7.0	1.652010579475751E-6
8.0	8.260052897378755E-7
9.0	4.956031738427253E-6
10.0	3.304021158951502E-6
11.0	3.304021158951502E-6
12.0	1.0738068766592382E-5
13.0	9.912063476854506E-6
14.0	6.608042317903003E-6
15.0	1.7346111084495382E-5
16.0	9.086058187116632E-6
17.0	1.817211637423326E-5
18.0	2.2302142822922638E-5
19.0	2.230214282292264E-5
20.0	2.8910185140825647E-5
21.0	3.551822745872865E-5
22.0	5.534235441243766E-5
23.0	7.186246020719517E-5
24.0	1.0325066121723442E-4
25.0	1.850251849012841E-4
26.0	2.1393537004210972E-4
27.0	3.700503698025682E-4
28.0	7.343187025769713E-4
29.0	0.0015908861880351481
30.0	0.0031297340428168108
31.0	0.006798023534542715
32.0	0.013126876064514317
33.0	0.023665877556279875
34.0	0.038381161792960125
35.0	0.054513045101540834
36.0	0.07031204827835717
37.0	0.0832605072002881
38.0	0.09010230901518694
39.0	0.09166924104981966
40.0	0.08717164224719695
41.0	0.07872078212788874
42.0	0.06933323201001779
43.0	0.05856790506886406
44.0	0.04892594532175384
45.0	0.04027106189588038
46.0	0.03233893309852756
47.0	0.025754018928737216
48.0	0.020299906000598028
49.0	0.01566436431458907
50.0	0.012589146620894961
51.0	0.010843797443678827
52.0	0.006498183614367867
53.0	0.004657017823542142
54.0	0.0030628276143480422
55.0	0.0020195829334091055
56.0	0.0013893408973391066
57.0	9.457760567498675E-4
58.0	6.492401577339702E-4
59.0	4.724750257300648E-4
60.0	3.642683327744031E-4
61.0	3.114039942311791E-4
62.0	2.3458550228555664E-4
63.0	1.4042089925543884E-4
64.0	8.342653426352543E-5
65.0	6.195039673034067E-5
66.0	3.882224861768014E-5
67.0	2.560616398187414E-5
68.0	1.1564074056330258E-5
69.0	1.2390079346068132E-5
70.0	1.0738068766592382E-5
71.0	6.608042317903004E-6
72.0	1.652010579475751E-6
73.0	5.782037028165128E-6
74.0	5.782037028165129E-6
75.0	3.304021158951502E-6
76.0	2.4780158692136265E-6
77.0	2.4780158692136265E-6
78.0	0.0
79.0	2.4780158692136265E-6
80.0	3.304021158951502E-6
81.0	0.0
82.0	1.652010579475751E-6
83.0	0.0
84.0	8.260052897378755E-7
85.0	0.0
86.0	8.260052897378755E-7
87.0	0.0
88.0	0.0
89.0	0.0
90.0	8.260052897378755E-7
91.0	0.0
92.0	0.0
93.0	0.0
94.0	1.652010579475751E-6
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	9.912063476854506E-6
