#Coverage (X)	Coverage
1.0	99.78690650446796
2.0	99.75286057001234
3.0	99.6816594082226
4.0	99.62964867046884
5.0	99.55900685237151
6.0	99.49387621477317
7.0	99.41402990267831
8.0	99.33621532428978
9.0	99.24094593244033
10.0	99.13831459052135
11.0	99.03078076565103
12.0	98.91844316553983
13.0	98.78864252632513
14.0	98.64989238803153
15.0	98.4983842781649
16.0	98.33843665905658
17.0	98.15790025668117
18.0	97.9736705408072
19.0	97.77668285336024
20.0	97.56082554193618
21.0	97.32785889403769
22.0	97.0748052270668
23.0	96.80466690054911
24.0	96.51780584275615
25.0	96.21960162390634
26.0	95.89687676465738
27.0	95.5530284553765
28.0	95.1854491673799
29.0	94.79818591679516
30.0	94.37755946008528
31.0	93.9343865171848
32.0	93.46329574351789
33.0	92.96455858528819
34.0	92.44775791604991
35.0	91.89408991696625
36.0	91.31581902105806
37.0	90.70028596446275
38.0	90.04677511627973
39.0	89.36876830462515
40.0	88.66888950946792
41.0	87.93813165223135
42.0	87.17506347111421
43.0	86.38419261822614
44.0	85.56435105232701
45.0	84.71018388012607
46.0	83.83596259142287
47.0	82.92621475260762
48.0	82.00600389648687
49.0	81.04139102195793
50.0	80.05768643110346
51.0	79.0369582231954
