#Position (bp)	mapping quality
15197.0	26.794087592849742
45590.0	42.66193558476884
75983.0	42.782262019822994
106376.0	42.68144203384758
136769.0	41.49280289763457
167162.0	33.50517987534881
197555.0	30.322088083444363
221485.0	10.660129403548115
236681.5	20.91321258697264
258341.0	35.37384680771142
288734.0	42.514958318034346
319127.0	42.214007325513215
349520.0	42.66682710765235
379913.0	42.637725889483754
410306.0	42.16659512719085
440699.0	33.35444977943317
471092.0	39.57847903890188
501485.0	31.99954782544784
531878.0	42.0076449098332
562271.0	42.18535617225626
592664.0	42.37746086477525
623057.0	42.53389360698881
653450.0	41.61635643322972
683843.0	42.379371922985875
714236.0	40.9082364167567
744629.0	42.6774350590783
775022.0	42.628892430371465
805415.0	42.721565395748705
835808.0	41.93423746139363
866201.0	41.745366753791274
896594.0	41.91227706602619
926987.0	42.64583213762958
957380.0	42.63435897318282
987773.0	42.7241495160222
1018166.0	42.362428172440964
1038382.5	15.596464225851
1053579.0	24.912622816032098
1078952.0	42.635873931282504
1109345.0	42.79777794839837
1139738.0	34.908759892401854
1170131.0	42.03345250555918
1200524.0	40.69022939865274
1230917.0	38.767321843708
1261310.0	42.727083159257255
1291703.0	42.64354655383453
1322096.0	40.93205665434874
1348657.5	34.27181323761632
1363854.0	6.653790173870509
1382882.0	29.495365760968777
1413275.0	41.41978559337973
1443668.0	42.61090070161518
1474061.0	41.63088880487242
1504454.0	41.70990259926614
1534847.0	42.73585370361578
1565240.0	41.68591502406045
1595633.0	41.58976734512521
1626026.0	42.650047848076056
1656419.0	42.459451765048875
1686812.0	42.41791199350854
1717205.0	42.67183012731858
1747598.0	40.91181167554561
1777991.0	42.436023873762664
1808384.0	41.409842815526986
1838777.0	41.79289286916665
1869170.0	29.178647242378304
1899563.0	22.038235941414005
1929956.0	42.63311291857276
1960349.0	41.95677913061772
1990742.0	41.48079311942606
2021135.0	29.65572551307282
2051528.0	42.642225041595076
2081921.0	42.64415809117526
2112314.0	38.89867233357421
2142707.0	42.62045856513853
2173100.0	37.98554436445698
2203493.0	42.58676831826401
2233886.0	21.731204309696366
2264279.0	42.356255341059025
2294672.0	42.009335531134724
2325065.0	42.5740952458407
2355458.0	22.588014559630995
2385851.0	42.20725101375388
2416244.0	42.643474570399114
2446637.0	26.886559374990824
2477030.0	42.62792180135558
2507423.0	37.24976474339532
2537816.0	41.35878579558084
2568209.0	29.27561156315219
2598602.0	40.53460016351321
2628995.0	42.65081856069764
2659388.0	41.18888547714793
2689781.0	42.641627579746824
2720174.0	41.854274446359874
2750567.0	42.62293889575796
2780960.0	42.72207355043698
2811353.0	42.423674452338126
2841746.0	42.68295434378916
2872139.0	34.61200339403307
2889645.5	0.9762774036394899
2904842.0	5.213560662202012
2932925.0	42.590697419475624
2963318.0	42.50960167649279
2993711.0	42.596475938291505
3024104.0	42.54554943745639
3054497.0	42.544552215470944
3084890.0	38.36098009745473
3115283.0	38.013502649139866
3145676.0	42.161225972125465
3176069.0	42.58947273273504
3206462.0	41.620193750998034
3236855.0	42.44566467964269
3267248.0	42.322547830734656
3297641.0	40.541318923240404
3322340.5	34.93834596524235
3337537.0	32.5503396878956
3358427.0	38.74669001675951
3388820.0	36.62463097963898
3410819.5	37.36319470212107
3426016.0	29.401273193107368
3449606.0	38.54530175916695
3479999.0	41.95387028587056
3510392.0	42.41653054949023
3540785.0	41.83429795972479
3571178.0	42.42876489029243
3601571.0	42.43297948843706
3631964.0	42.590194051184035
3662357.0	42.07622563954889
3692750.0	40.58520911188061
3723143.0	42.179929098169296
3753536.0	42.350627208060864
3783929.0	41.148011786761174
3814322.0	42.453501924572706
3844715.0	40.99936350053132
3875108.0	29.615227824259062
3905501.0	31.488635865203392
3935894.0	42.70902269781909
3966287.0	42.46245578345363
3987990.0	22.83991287157395
4003186.5	15.735182721016912
4027073.0	42.24215863952653
4057466.0	42.768794049876206
4087859.0	42.25385317365406
4118252.0	40.21550242545158
4148645.0	34.36851857151033
4179038.0	42.47431860944114
4209431.0	41.88376495255546
4239824.0	42.64211613697305
4259839.0	42.072239252363325
4275035.5	35.49800418863147
4300610.0	42.75847666310846
4331003.0	42.569859593038586
4361396.0	41.110414412815274
4391789.0	42.38262131048213
4422182.0	42.469725023348
4452575.0	42.67809750005836
4482968.0	42.41428184242812
4513361.0	42.3727102956494
4543754.0	42.439756298347135
4574147.0	42.318399314410684
4604540.0	42.45288623532543
4634933.0	42.07815246255601
4665326.0	38.95092999637584
4695719.0	42.32023748645913
4726112.0	42.722894938956706
4756505.0	42.122491923988235
4786898.0	36.62065678139081
4817291.0	20.645118177626077
4847684.0	30.96160871906375
4878077.0	42.62735528361722
4908470.0	42.24946863084312
4938863.0	42.63645601882442
4969256.0	35.2933229058725
4999649.0	41.9650909283906
5030042.0	41.02492512957679
5060435.0	42.582071060879095
5090828.0	23.132947484674595
5121221.0	42.40689383668348
5151614.0	41.95465982038864
5182007.0	41.33979851347953
5212400.0	42.62942985318304
5242793.0	42.688685497443586
5273186.0	42.235136227626086
5303579.0	42.71115950576955
5333972.0	34.47220830482142
5352383.0	1.0741819551923022
5367579.5	33.833543884936226
5394758.0	42.424191445168084
5425151.0	42.604748385308085
5455544.0	34.1126355091971
5485937.0	41.88422394177734
5516330.0	42.22341305774485
5546723.0	41.973731919397345
5577116.0	26.09258706243543
5607509.0	42.60935796201902
5637902.0	41.505508144369784
5668295.0	42.710629527985446
5698688.0	42.80430702647043
5729081.0	42.20312415215993
5759474.0	42.16491371391926
5789867.0	42.70666374403475
5820260.0	41.85867014417748
5850653.0	42.07215110440974
5881046.0	25.898024100383353
5907241.5	7.740094881617189
5922438.0	1.8565980622807985
5941832.0	24.108845953979564
5972225.0	42.506177029200416
6002618.0	42.26764341440395
6033011.0	42.34236024917556
6063404.0	41.34598327886856
6093797.0	42.804477873144386
6124190.0	33.20159041358958
6154583.0	42.76010702074919
6184976.0	42.63169556158885
6215369.0	42.74970198122365
6245762.0	42.33445348166867
6276155.0	41.658223544882276
6306548.0	42.24229410771817
6336941.0	42.38800171039789
6367334.0	42.26010314356541
6397727.0	20.765899104595807
6428120.0	42.52185509946795
6458513.0	41.25384400137579
6488906.0	42.746853773492575
6519299.0	42.55541986313196
6549692.0	42.617189141347545
6580085.0	42.72660942774178
6610478.0	42.19865522402466
6640871.0	29.805260943771618
6660029.5	8.542963213673767
6675226.0	37.613034759646325
6701657.0	42.7060068968769
6732050.0	42.45938676931231
6762443.0	42.56763810995708
6792836.0	42.31165694362286
6823229.0	42.1391643997649
6853622.0	41.945844435044634
6884015.0	42.62285137477096
6914408.0	42.69896534642844
6944801.0	42.671595726255475
6975194.0	41.87390166136927
7005587.0	42.53027356338061
7035980.0	42.545964812008854
7066373.0	42.565270582171095
7096766.0	42.52689193926161
7127159.0	42.07862241321668
7157552.0	42.690115046983415
7187945.0	42.10837180414187
7218338.0	41.44746785145688
7248731.0	42.660401163797694
7279124.0	42.42164897166778
7309517.0	38.50302790081888
7327760.5	16.872246233652337
7342957.0	19.030057096263064
7370303.0	42.250085280980905
7400696.0	41.81763204127503
7431089.0	40.754975887167355
7461482.0	42.538101766621786
7491875.0	42.50791254548704
7522268.0	42.492973563852956
7552661.0	30.57306342205821
7583054.0	42.3646017220961
7613447.0	42.6035591113894
7643840.0	42.709943871777035
7674233.0	42.73558299902507
7704626.0	42.11553893426262
7735019.0	42.312315399543415
7765412.0	42.42476926828072
7795805.0	4.818781952609634
7826198.0	21.35731376729486
7856591.0	42.494121017114004
7886984.0	42.584079369007696
7917377.0	28.14991140453891
7947770.0	42.042390332484054
7978163.0	28.771381608533755
8008556.0	42.13683123596567
8038949.0	42.532061163887725
8069342.0	41.83934776826089
8099735.0	42.62025124403572
8130128.0	41.99887077828914
8160521.0	42.20312316608747
8190914.0	42.607959875584704
8221307.0	42.66966155807225
8251700.0	42.495713465516545
8282093.0	34.740080319512785
8312486.0	33.884019974004744
8342879.0	41.70943337586884
8373272.0	42.33096609661728
8398726.5	11.676205015397029
8413923.0	5.709150498256365
8434058.0	42.68625820849225
8464451.0	42.64950457564226
8494844.0	42.66064876144477
8525237.0	42.4590480868558
8555630.0	42.40713735291442
8586023.0	28.381115507224056
8616416.0	30.340161180339305
8646809.0	42.18834469156361
8677202.0	42.6436835337958
8707595.0	42.508563450330605
8737988.0	42.504659911552984
8768381.0	26.177412824973462
8798774.0	32.577936483683686
8829167.0	42.49183940029454
8859560.0	42.43905001485921
8889953.0	42.506667476423075
8920346.0	40.72673332628473
8950739.0	42.34636254285768
8981132.0	42.489314137874906
9011525.0	40.46987451665295
9041918.0	41.76904015367047
9072311.0	42.59726757982285
9102704.0	42.76179826227113
9133097.0	42.53651501384536
9163490.0	42.07939687223565
9193883.0	42.59571249270719
9224276.0	41.904053300276736
9254669.0	42.57405593434989
9285062.0	42.47861220896815
9315455.0	38.23140422284406
9332033.5	21.386258030581097
9347230.0	23.1505680781971
9376241.0	42.65848642339012
9406634.0	42.465640585027074
9437027.0	32.47811012400677
9467420.0	42.58670207924926
9497813.0	42.57192852484635
9528206.0	42.74330383011098
9558599.0	42.715573513755764
9588992.0	41.571479697241166
9619385.0	42.327415489182194
9649778.0	42.7327598810046
9680171.0	42.50246829218595
9710564.0	42.5943934633757
9740957.0	42.69513627027043
9771350.0	42.09987375208967
9801743.0	42.60521703651697
9832136.0	42.45987616702229
9862529.0	32.7571032889182
9892922.0	29.112747748559045
9923315.0	39.29322448534791
9953708.0	41.67082336038244
9984101.0	42.73959212838686
1.0014494E7	42.74919186441897
1.0044887E7	42.02844370199643
1.007528E7	40.12388571307239
1.01041125E7	33.10206881951551
1.0119309E7	22.787224048849225
1.0136066E7	34.6081956195241
1.0166459E7	42.55177451937126
1.0196852E7	42.18816143843172
1.0227245E7	30.777243073370673
1.0257638E7	42.63348241193627
1.0288031E7	42.33442600211572
1.0318424E7	42.75425533504852
1.0348817E7	42.066666385423346
1.037921E7	42.62926070507947
1.0409603E7	42.503224171955836
1.0439996E7	42.61141567684049
1.0470389E7	41.981944387493336
1.0500782E7	42.64148805066846
1.0531175E7	42.53555586241859
1.0561568E7	42.393598748065216
1.0591961E7	42.15079875024891
1.0622354E7	42.54548619037594
1.0652747E7	42.3735499954651
1.068314E7	40.786700328770735
1.0713533E7	29.415101728640025
1.0743926E7	42.64716603718653
1.0774319E7	42.07796593672979
1.0804712E7	42.10341524994802
1.0835105E7	30.018493203974646
1.0865498E7	42.61990212149198
1.0895891E7	42.47054169529258
1.0926284E7	42.60059858443576
1.0956677E7	42.687388701258826
1.098707E7	42.18885029793939
1.1017463E7	42.26863042134994
1.1047856E7	42.740164348108436
1.1078249E7	35.14692628220752
1.1108642E7	41.567374871813115
1.1139035E7	42.73319146263425
1.1169428E7	42.35349695888806
1.1196832E7	11.140704105966535
1.12120285E7	0.9844653000020421
1.1230214E7	26.9696616298756
1.1260607E7	32.474441063174886
1.1291E7	42.422193882102405
1.1321393E7	42.109524344699444
1.1351786E7	42.24535427901181
1.1382179E7	42.1712096968887
1.1412572E7	42.01191259223792
1.1442965E7	42.64985001265817
1.1473358E7	42.61280777190979
1.1503751E7	42.37320637089207
1.1534144E7	42.651887391558304
1.1564537E7	42.7293519098532
1.159493E7	42.339914227400726
1.1625323E7	42.05192715239897
1.1655716E7	31.06836099540003
1.1686109E7	42.152702571084575
1.1716502E7	42.590602211628465
1.1746895E7	42.55264744491527
1.1777288E7	41.52606876044689
1.1807681E7	42.587925036002154
1.1838074E7	42.67266371056361
1.1868467E7	42.62268991401017
1.189886E7	41.282692160662705
1.1929253E7	42.354803576045846
1.1959646E7	42.65887907775325
1.1990039E7	41.446923039952765
1.2020432E7	30.291108040785293
1.2050825E7	19.464057823581506
1.2081218E7	42.09411213942078
1.2111611E7	42.7010024789032
1.21419565E7	32.8140934537825
