#Mapping quality	mapping quality
0.0	383613.0
1.0	76459.0
2.0	34693.0
3.0	23647.0
4.0	22120.0
5.0	21497.0
6.0	21149.0
7.0	22628.0
8.0	26140.0
9.0	27444.0
10.0	21013.0
11.0	24245.0
12.0	16886.0
13.0	14112.0
14.0	15912.0
15.0	13921.0
16.0	14881.0
17.0	15629.0
18.0	16496.0
19.0	16993.0
20.0	16039.0
21.0	16564.0
22.0	293630.0
23.0	74771.0
24.0	123192.0
25.0	105862.0
26.0	140572.0
27.0	128457.0
28.0	198347.0
29.0	261322.0
30.0	243054.0
31.0	269577.0
32.0	350090.0
33.0	447223.0
34.0	515901.0
35.0	584189.0
36.0	775149.0
37.0	825275.0
38.0	978949.0
39.0	1023326.0
40.0	1047179.0
41.0	820216.0
42.0	531838.0
43.0	233854.0
44.0	544563.0
