#Position (bp)	insert size
15197.0	223.7948024766722
45590.0	218.61397505243406
75983.0	219.64909304449955
106376.0	220.65658458244113
136769.0	219.6081871345029
167162.0	218.00563663814796
197555.0	231.51514505119454
221485.0	220.94657293497363
236681.5	230.74668371424005
258341.0	217.9366410435593
288734.0	217.8068169443537
319127.0	217.02451043963168
349520.0	218.59807305148115
379913.0	218.86340122858067
410306.0	217.01661585365855
440699.0	216.93241586047145
471092.0	219.78238625982095
501485.0	218.5791766193621
531878.0	218.54545454545453
562271.0	217.16200466200465
592664.0	216.41241685144124
623057.0	220.2082878953108
653450.0	216.05302166476625
683843.0	217.92675050985724
714236.0	220.3058179070646
744629.0	217.30288940551313
775022.0	219.20916060546492
805415.0	217.92371888726208
835808.0	218.22494603761947
866201.0	217.81001076426264
896594.0	219.60950300382305
926987.0	216.96329578534363
957380.0	221.20333371389427
987773.0	216.83565396028305
1018166.0	216.7477964174012
1038382.5	218.50058072009293
1053579.0	218.17178789057436
1078952.0	217.20498474059002
1109345.0	221.09529073623702
1139738.0	227.1309418364334
1170131.0	220.97971891122577
1200524.0	218.22457779374776
1230917.0	217.7402238920411
1261310.0	221.59109418100618
1291703.0	219.39954163483574
1322096.0	224.14614011601964
1348657.5	218.33681495809157
1363854.0	215.84744551625582
1382882.0	219.14972369930143
1413275.0	219.15018688413184
1443668.0	216.18647621543704
1474061.0	217.5
1504454.0	217.47007223942208
1534847.0	217.03032867823387
1565240.0	218.10912319038513
1595633.0	217.58757839987763
1626026.0	217.55877063920224
1656419.0	218.34516979376647
1686812.0	219.69602494154327
1717205.0	216.9246993202022
1747598.0	221.92750249418026
1777991.0	218.45037892457597
1808384.0	218.6194060211554
1838777.0	217.9516458992003
1869170.0	222.55953757225433
1899563.0	217.81375150784078
1929956.0	218.25895833333334
1960349.0	220.38576064134378
1990742.0	217.89336952307096
2021135.0	218.78149606299212
2051528.0	218.42256341789053
2081921.0	219.17088091353997
2112314.0	226.7910070730886
2142707.0	219.71074017131562
2173100.0	218.3507477180035
2203493.0	218.86095905408365
2233886.0	223.97628666783768
2264279.0	219.36259211096663
2294672.0	219.66291246789172
2325065.0	219.6764349232013
2355458.0	218.060318387615
2385851.0	218.76265008576328
2416244.0	216.5092272202999
2446637.0	218.99341903887358
2477030.0	218.10232809962102
2507423.0	218.00917907862834
2537816.0	218.61094477711245
2568209.0	218.69469928644241
2598602.0	219.2638006839277
2628995.0	219.09006211180125
2659388.0	221.3613529327815
2689781.0	217.85663138231632
2720174.0	218.601943597561
2750567.0	217.44035408177604
2780960.0	218.6718229097213
2811353.0	217.78573380705112
2841746.0	218.65152506872627
2872139.0	219.97225618357942
2889645.5	222.63227091633465
2904842.0	224.16023817987914
2932925.0	218.95711835334478
2963318.0	217.05901639344262
2993711.0	219.4629374904478
3024104.0	218.22216951296647
3054497.0	218.28839941262848
3084890.0	218.36440431109816
3115283.0	216.11680572109654
3145676.0	219.84502646220653
3176069.0	220.2438915375447
3206462.0	216.83535813718046
3236855.0	218.10795902285264
3267248.0	219.20290771175726
3297641.0	223.40722525261558
3322340.5	218.7913380180697
3337537.0	243.13202437373053
3358427.0	236.69590268886043
3388820.0	236.07313689584373
3410819.5	239.59056501757232
3426016.0	220.95443987850635
3449606.0	219.3032334384858
3479999.0	217.89553314121036
3510392.0	218.3542944785276
3540785.0	218.95806261075015
3571178.0	217.72807561202356
3601571.0	218.2854027107026
3631964.0	218.1183119819141
3662357.0	219.69812768569673
3692750.0	218.3744292237443
3723143.0	219.40251272264632
3753536.0	218.4296233361654
3783929.0	217.47915015062628
3814322.0	218.8466655849424
3844715.0	219.26105263157893
3875108.0	218.03965014577258
3905501.0	220.7546592119276
3935894.0	217.28671953535127
3966287.0	219.6446548418025
3987990.0	218.2068748029013
4003186.5	219.42541672602934
4027073.0	216.80198628033173
4057466.0	218.27187136358828
4087859.0	217.90603938152503
4118252.0	218.97293793550477
4148645.0	217.65481270744428
4179038.0	217.67084639498432
4209431.0	219.89085053083622
4239824.0	219.01784059314178
4259839.0	222.1730374023839
4275035.5	218.81016691957512
4300610.0	218.27302939038321
4331003.0	219.38441098317094
4361396.0	218.84275124559485
4391789.0	217.5730255164034
4422182.0	218.40491696515792
4452575.0	218.92616703715464
4482968.0	217.42323860770136
4513361.0	216.48159314503332
4543754.0	218.14965878431994
4574147.0	218.05068959340855
4604540.0	218.06054407854367
4634933.0	217.75226039783
4665326.0	216.90416297608502
4695719.0	219.80123851378346
4726112.0	217.9735912789805
4756505.0	218.67427174577307
4786898.0	230.10953190174573
4817291.0	219.62262834821428
4847684.0	218.34107519896054
4878077.0	217.39281088082902
4908470.0	219.18561484918794
4938863.0	216.90429581294183
4969256.0	217.38508196721313
4999649.0	218.7636302065696
5030042.0	216.7062717193447
5060435.0	218.5285048404446
5090828.0	220.1396810794235
5121221.0	218.61294398427628
5151614.0	217.97475414648466
5182007.0	221.93566347046087
5212400.0	217.75091519219035
5242793.0	218.68728004022122
5273186.0	217.97837774661056
5303579.0	217.74435715176455
5333972.0	218.9668833450457
5352383.0	220.92019386106622
5367579.5	218.5579647653074
5394758.0	219.91640659830583
5425151.0	217.53240460327075
5455544.0	219.24429830698196
5485937.0	220.59491220793586
5516330.0	220.50299068020587
5546723.0	216.9237253005389
5577116.0	219.5264003956968
5607509.0	217.7619720521275
5637902.0	217.5346564426402
5668295.0	218.0400174621653
5698688.0	217.20136239782016
5729081.0	218.77794031597426
5759474.0	218.72379231022018
5789867.0	216.35462735462735
5820260.0	218.63455872934546
5850653.0	217.57142857142858
5881046.0	225.0186703096539
5907241.5	217.59503649635036
5922438.0	222.1812696113927
5941832.0	220.37296933576852
5972225.0	218.02298144279217
6002618.0	217.17773851590107
6033011.0	219.79173354735153
6063404.0	219.85458750963764
6093797.0	217.16813333333334
6124190.0	220.0865990202939
6154583.0	218.5285785702383
6184976.0	219.2056397467869
6215369.0	218.43537090098695
6245762.0	218.38692098092642
6276155.0	219.9598953792502
6306548.0	218.40227527042148
6336941.0	218.57119416590703
6367334.0	218.09232412635433
6397727.0	218.75723601418602
6428120.0	218.65295055821372
6458513.0	218.2451897616946
6488906.0	218.4670598388953
6519299.0	216.13428923835954
6549692.0	219.68289143912412
6580085.0	217.57399443460662
6610478.0	219.30108225108225
6640871.0	220.91817260597873
6660029.5	220.8802713063993
6675226.0	220.3118664281455
6701657.0	217.01398176291792
6732050.0	218.97917989082137
6762443.0	218.02937593068904
6792836.0	218.21943001544292
6823229.0	217.01940877873992
6853622.0	218.6373302797317
6884015.0	217.52376924378277
6914408.0	216.1075640824029
6944801.0	218.98953271028037
6975194.0	219.1895870736086
7005587.0	219.07062334217505
7035980.0	219.55821173548588
7066373.0	217.3390955394351
7096766.0	216.50463758158708
7127159.0	217.69685555191614
7157552.0	219.3595435360325
7187945.0	218.8545502023763
7218338.0	217.90459088069957
7248731.0	216.99557358908152
7279124.0	219.4618490671122
7309517.0	225.1345282024249
7327760.5	219.0276022613901
7342957.0	220.36362732425175
7370303.0	218.69482716944646
7400696.0	223.63231535046415
7431089.0	219.21832306455934
7461482.0	219.74561259635885
7491875.0	217.84955623454096
7522268.0	218.26958154506437
7552661.0	219.6831076265146
7583054.0	217.41992577790467
7613447.0	217.82178217821783
7643840.0	217.76778272740336
7674233.0	218.51180413873507
7704626.0	217.6918123275069
7735019.0	217.73060075093866
7765412.0	218.677599009901
7795805.0	220.00432086746844
7826198.0	217.75467944660457
7856591.0	218.41045566937478
7886984.0	216.57608997500694
7917377.0	218.45767716535434
7947770.0	219.27074966532797
7978163.0	219.6734722030625
8008556.0	219.1543610947037
8038949.0	218.05087468761155
8069342.0	219.2682841068917
8099735.0	217.83151236342727
8130128.0	219.93152248345126
8160521.0	219.3376368687694
8190914.0	217.21662852784135
8221307.0	216.9027275257445
8251700.0	218.29559570863918
8282093.0	217.96156077748768
8312486.0	218.2624759461193
8342879.0	219.25576407506702
8373272.0	220.1972761040033
8398726.5	220.28717188453825
8413923.0	219.66441272226396
8434058.0	218.45542536933266
8464451.0	218.11999510224072
8494844.0	218.18996100138384
8525237.0	216.4257477243173
8555630.0	218.17678812415656
8586023.0	217.27021112255406
8616416.0	217.93582752060874
8646809.0	218.4469981238274
8677202.0	217.72508361204012
8707595.0	217.85237415208854
8737988.0	216.518648018648
8768381.0	218.98398707213164
8798774.0	217.73835732430143
8829167.0	218.22001620745542
8859560.0	218.12101585137208
8889953.0	217.49519572953736
8920346.0	218.2363844830881
8950739.0	218.60309182343082
8981132.0	218.910301461069
9011525.0	220.30347705146036
9041918.0	217.515665374677
9072311.0	220.0443404020931
9102704.0	217.08119340952948
