#Coverage (X)	Coverage
1.0	95.80207623443246
2.0	94.71026202373015
3.0	92.33471291068062
4.0	91.4197500144977
5.0	89.60514036853345
6.0	88.7794256938638
7.0	87.23608128744466
8.0	86.42762401081507
9.0	85.03430709860612
10.0	84.24745858491804
11.0	82.96777892434095
12.0	82.19784233170644
13.0	81.02307251603075
14.0	80.26994091109684
15.0	79.14783988457778
16.0	78.38721471929378
17.0	77.30192344312235
18.0	76.55100453603058
19.0	75.51600483832294
20.0	74.76562059799599
21.0	73.77228377973209
22.0	73.02918745869185
23.0	72.0627320402349
24.0	71.3144288874695
25.0	70.3699112576555
26.0	69.62069505856863
27.0	68.69707878643806
28.0	67.94328913010128
29.0	67.03657655338174
30.0	66.29305249892963
31.0	65.40840109549106
32.0	64.67151513456534
33.0	63.81339965394721
34.0	63.07327278986238
35.0	62.2178799969236
36.0	61.48069791286658
37.0	60.634048977943344
38.0	59.90064246381025
39.0	59.07267396308578
40.0	58.339654054151865
41.0	57.51051751218731
42.0	56.77960336774256
43.0	55.97701097424098
44.0	55.24850694305922
45.0	54.45358084840099
46.0	53.734511629207766
47.0	52.950073228782664
48.0	52.225262511099466
49.0	51.44003444899093
50.0	50.728343631152306
51.0	49.94365846145113
