#Mapping quality	mapping quality
0.0	184818.0
1.0	192318.0
2.0	41442.0
3.0	28517.0
4.0	23017.0
5.0	19892.0
6.0	18986.0
7.0	17879.0
8.0	20163.0
9.0	23477.0
10.0	32088.0
11.0	24688.0
12.0	14893.0
13.0	13789.0
14.0	12694.0
15.0	11813.0
16.0	11632.0
17.0	10871.0
18.0	11149.0
19.0	11680.0
20.0	12112.0
21.0	15124.0
22.0	16236.0
23.0	16420.0
24.0	16882.0
25.0	17499.0
26.0	17990.0
27.0	17470.0
28.0	18039.0
29.0	17583.0
30.0	16553.0
31.0	16861.0
32.0	17242.0
33.0	18461.0
34.0	18428.0
35.0	19276.0
36.0	22187.0
37.0	27123.0
38.0	34759.0
39.0	48967.0
40.0	98239.0
41.0	301356.0
42.0	1666386.0
43.0	7997772.0
44.0	861612.0
