#Coverage (X)	Coverage
1.0	99.18543929660885
2.0	99.17010669892215
3.0	99.14233692972134
4.0	99.12929106065958
5.0	99.11279042173281
6.0	99.08402534978516
7.0	99.03650581285594
8.0	98.95489098761588
9.0	98.81934062426869
10.0	98.62225422911129
11.0	98.32856588801363
12.0	97.91629668412011
13.0	97.33403635158206
14.0	96.55699280379663
15.0	95.56740687852906
16.0	94.32181428062026
17.0	92.78076482846862
18.0	90.96076738664345
19.0	88.8559488463742
20.0	86.45564877493449
21.0	83.79080381390142
22.0	80.89044225578377
23.0	77.78657830133079
24.0	74.46127182417196
25.0	70.94598590700664
26.0	67.34733310274116
27.0	63.671087812435616
28.0	59.998108102216776
29.0	56.304325742024936
30.0	52.64347062890384
31.0	49.0597226889132
32.0	45.56831581202927
33.0	42.21549456058824
34.0	39.015045111480084
35.0	35.944034373315034
36.0	33.02009812368982
37.0	30.275472655702174
38.0	27.694282479258035
39.0	25.27207752174553
40.0	23.03399534675404
41.0	20.931027576055342
42.0	18.992918133058836
43.0	17.225778670168623
44.0	15.601748936115982
45.0	14.118599781773725
46.0	12.75793044478931
47.0	11.521065253610985
48.0	10.400897253087834
49.0	9.379543896347059
50.0	8.444880586290921
51.0	7.616928536851518
