#Read position (bp)	Clipping profile
0.0	1.5210447252902797
1.0	1.4011873950008236
2.0	1.2490917629567375
3.0	1.1990349726637473
4.0	1.1555496095108686
5.0	1.1225353096335648
6.0	1.096249601073117
7.0	1.0700326518399947
8.0	1.0462124563022197
9.0	1.024730077893513
10.0	1.0034146864225966
11.0	0.9827279516586567
12.0	0.9630431385214603
13.0	0.9440557414185659
14.0	0.9244003965645089
15.0	0.9056487457267306
16.0	0.8861996788546502
17.0	0.8679293433081507
18.0	0.8496295394785115
19.0	0.8313886722151516
20.0	0.81343266502214
21.0	0.7959677958814538
22.0	0.7793575069518136
23.0	0.7630222553314754
24.0	0.7479344943640436
25.0	0.7322377222117282
26.0	0.7170222653506917
27.0	0.7016398215518647
28.0	0.686365428124549
29.0	0.6711990850687451
30.0	0.6572311188606147
31.0	0.6438230500321351
32.0	0.6309159420170274
33.0	0.6186767817530819
34.0	0.6059268379147182
35.0	0.5936287410844937
36.0	0.5818807188728735
37.0	0.570594366430439
38.0	0.5597893292792834
39.0	0.549671885401383
40.0	0.5397803650275523
41.0	0.5308514752362792
42.0	0.5209304865793088
43.0	0.5116479773903615
44.0	0.5036718954205993
45.0	0.4964030522461855
46.0	0.48807335087874915
47.0	0.48103043120840494
48.0	0.4747045730944556
49.0	0.4677697037956229
50.0	0.4615617188142317
51.0	0.45526532898342187
52.0	0.4487430156485424
53.0	0.44349766124970863
54.0	0.4382915978950609
55.0	0.43353738154855237
56.0	0.4285867099811138
57.0	0.4240289488555354
58.0	0.41984445264972414
59.0	0.41594481651426163
60.0	0.41179961135263643
61.0	0.40800802558868543
62.0	0.4047272233991527
63.0	0.40141695292648044
64.0	0.39918718616892385
65.0	0.39616177576660017
66.0	0.393961477292183
67.0	0.392075507171254
68.0	0.39002255011253445
69.0	0.38831338969044255
70.0	0.38719359493114097
71.0	0.38621131882649046
72.0	0.38447269012125906
73.0	0.3834314774503295
74.0	0.3826751248497486
75.0	0.382547428956144
76.0	0.38240991030149296
77.0	0.38334307260091094
78.0	0.3842762349003289
79.0	0.38521921996079345
80.0	0.38737040462997807
81.0	0.3886277180439307
82.0	0.3903467012270691
83.0	0.39229160791427714
84.0	0.3945803112381129
85.0	0.39661362277473944
86.0	0.39941310967299337
87.0	0.4021634827660148
88.0	0.40541481667240803
89.0	0.40849916364101063
90.0	0.41280153297937994
91.0	0.4168976243357726
92.0	0.42070885562181665
93.0	0.42477547869506976
94.0	0.42957880884681077
95.0	0.4344214300427378
96.0	0.43948997474273455
97.0	0.444283482133429
98.0	0.44979405108051845
99.0	0.4567976797066766
100.0	0.4629172598386494
101.0	0.46954762354504037
102.0	0.47672806187003564
103.0	0.48329948901014763
104.0	0.4909317743432821
105.0	0.49850512311013756
106.0	0.5066874830618765
107.0	0.5150073616682663
108.0	0.5238576693711675
109.0	0.5334937979577891
110.0	0.5421378276787135
111.0	0.552314208122893
112.0	0.5623334243903282
113.0	0.5733840305676465
114.0	0.5844935733112439
115.0	0.5956227615769343
116.0	0.6085004013089025
117.0	0.6206708022455224
118.0	0.6338136565257464
119.0	0.6467207645408541
120.0	0.6600797195641013
121.0	0.6742441409931617
122.0	0.6894595978541982
123.0	0.7051956610506994
124.0	0.7205879276105731
125.0	0.7359409031262607
126.0	0.7518635987826456
127.0	0.7676291302622863
128.0	0.7836304080070433
129.0	0.7995334581413351
130.0	0.8168411631052773
131.0	0.8346891199267773
132.0	0.85255672227037
133.0	0.8714753600459391
134.0	0.8900403784238339
135.0	0.9092045852255655
136.0	0.9285750700092736
137.0	0.948279528668563
138.0	0.9677089500185502
139.0	0.9868829795813284
140.0	1.0069115893551523
141.0	1.028256449109208
142.0	1.049542372296985
143.0	1.072331177924877
144.0	1.0983811402202086
145.0	1.1251088730277492
146.0	1.1531528558155213
147.0	1.191117827260264
148.0	1.232068918063144
149.0	1.385971938139787
150.0	1.510858522085054
