#Coverage (X)	Coverage
1.0	90.20755352528418
2.0	87.16296355094408
3.0	83.21878440632042
4.0	81.28567615398568
5.0	78.7607740494139
6.0	77.30513966935385
7.0	75.45687069413319
8.0	74.26595394215975
9.0	72.7785768075541
10.0	71.75303659876262
11.0	70.53473668278755
12.0	69.62660106990933
13.0	68.56325580802337
14.0	67.7302285371394
15.0	66.76609274987754
16.0	66.01552754541481
17.0	65.13191257293575
18.0	64.4224673555094
19.0	63.63000072796937
20.0	62.96647104717776
21.0	62.23257922013506
22.0	61.60069358617862
23.0	60.90533889441607
24.0	60.29488105926535
25.0	59.64104941102344
26.0	59.05642009343508
27.0	58.434849415218515
28.0	57.878615015663684
29.0	57.29315490817921
30.0	56.77809807515852
31.0	56.23147122608549
32.0	55.7319526318149
33.0	55.20114369333818
34.0	54.712836649843865
35.0	54.19117462586694
36.0	53.72244461160779
37.0	53.227359638663984
38.0	52.76860732880074
39.0	52.291766831001304
40.0	51.844826543819444
41.0	51.38745614190221
42.0	50.95354527249704
43.0	50.510109109035426
44.0	50.08629110302166
45.0	49.6601534658128
46.0	49.25206288832745
47.0	48.83461152963638
48.0	48.439575046855325
49.0	48.0305467461209
50.0	47.64243625435497
51.0	47.24196262185776
