#Coverage (X)	Coverage
1.0	57.09380646132447
2.0	47.456668343326804
3.0	23.560617433180028
4.0	17.72926202414145
5.0	8.336803869013238
6.0	5.93988453665574
7.0	2.756100239325079
8.0	1.9025993441695306
9.0	0.9387267774688297
10.0	0.6700526153224899
11.0	0.39949478103545744
12.0	0.31852978155572487
13.0	0.23702188966863957
14.0	0.20597008909605563
15.0	0.17577375534719408
16.0	0.16318852226744696
17.0	0.15326017172675677
18.0	0.14654804741755356
19.0	0.141291861837189
20.0	0.137425809845368
21.0	0.1333787937177675
22.0	0.12938113144537056
23.0	0.1256878179467975
24.0	0.12055501700446314
25.0	0.11663138551489283
26.0	0.11148213328749534
27.0	0.10688399910999635
28.0	0.10286988555253629
29.0	0.09867480785928251
30.0	0.09419183267728215
31.0	0.09029287811532072
32.0	0.08635279534067308
33.0	0.08110483540284008
34.0	0.07558542926132361
35.0	0.07092148994352954
36.0	0.06483451446705146
37.0	0.060590082918579924
38.0	0.056518389863370544
39.0	0.05329393798933779
40.0	0.050275127178707635
41.0	0.04764292156725958
42.0	0.044903782602844444
43.0	0.042320930846614147
44.0	0.0398285611582736
45.0	0.03805182237054794
46.0	0.036127022017169
47.0	0.03415286780858651
48.0	0.03213758538731781
49.0	0.03012230296604912
50.0	0.028304435965637254
51.0	0.026634630530878667
