#Coverage (X)	Coverage
1.0	98.36220876598499
2.0	97.37161931232806
3.0	96.03649882105978
4.0	94.98345206362863
5.0	93.82827572847319
6.0	92.84800945619865
7.0	91.84686650316831
8.0	90.95599651397269
9.0	90.04087733058158
10.0	89.20951163948983
11.0	88.37186978314327
12.0	87.59075454230263
13.0	86.79845242761331
14.0	86.06419867229904
15.0	85.31863465849806
16.0	84.622013217785
17.0	83.91473134434555
18.0	83.21847183190405
19.0	82.50122047971125
20.0	81.83750160914133
21.0	81.15765225355872
22.0	80.5004398662346
23.0	79.85084442389862
24.0	79.2174452717156
25.0	78.57917653915139
26.0	77.93986314998514
27.0	77.3231949547199
28.0	76.70664191845016
29.0	76.0938068726066
30.0	75.48827619733481
31.0	74.88791945121804
32.0	74.3078224626669
33.0	73.71821663134439
34.0	73.13719014518671
35.0	72.56357496295377
36.0	71.99617014083535
37.0	71.42567247712347
38.0	70.85751912153428
39.0	70.29167717149767
40.0	69.73257202269784
41.0	69.18121542916674
42.0	68.63646402659187
43.0	68.08586419217404
44.0	67.54189422564008
45.0	66.99517689449914
46.0	66.45742551372223
47.0	65.92215827699111
48.0	65.38652088634589
49.0	64.85299748583236
50.0	64.32727199444277
51.0	63.80455708822126
