#Duplication rate	Coverage
1.0	1201641.0
2.0	805224.0
3.0	327480.0
4.0	261917.0
5.0	135493.0
6.0	110087.0
7.0	65559.0
8.0	53848.0
9.0	35539.0
10.0	29226.0
11.0	20507.0
12.0	17236.0
13.0	12538.0
14.0	10628.0
15.0	8091.0
16.0	6985.0
17.0	5459.0
18.0	4674.0
19.0	3737.0
20.0	3248.0
21.0	2545.0
22.0	2391.0
23.0	1868.0
24.0	1720.0
25.0	1398.0
26.0	1290.0
27.0	1118.0
28.0	894.0
29.0	847.0
30.0	767.0
31.0	670.0
32.0	570.0
33.0	512.0
34.0	482.0
35.0	425.0
36.0	371.0
37.0	343.0
38.0	351.0
39.0	281.0
40.0	268.0
41.0	251.0
42.0	199.0
43.0	187.0
44.0	190.0
45.0	168.0
46.0	183.0
47.0	167.0
48.0	132.0
49.0	96.0
50.0	2895.0
