#Coverage (X)	Coverage
1.0	99.20392231538676
2.0	99.19093402582276
3.0	99.16797625750539
4.0	99.16193863588411
5.0	99.15160722885918
6.0	99.1448786532649
7.0	99.13549319513157
8.0	99.12544968559538
9.0	99.11647550958884
10.0	99.10239320956758
11.0	99.08621337069968
12.0	99.06843775717985
13.0	99.04623674797577
14.0	99.01963502001504
15.0	98.98880531179093
16.0	98.95293328469236
17.0	98.90597309145558
18.0	98.84857455784086
19.0	98.78516307953251
20.0	98.71260468672435
21.0	98.6207160339571
22.0	98.5126310910369
23.0	98.38165418493959
24.0	98.22738225918094
25.0	98.04571894377814
26.0	97.83436105882116
27.0	97.58104417128914
28.0	97.28197625997308
29.0	96.93588235027994
30.0	96.54428418607884
31.0	96.08618170197592
32.0	95.57254790511392
33.0	94.99264833198364
34.0	94.33537013951924
35.0	93.61469692003153
36.0	92.81725377875736
37.0	91.94976929129098
38.0	91.00449490236367
39.0	89.97105807673785
40.0	88.85740478510303
41.0	87.65853383679749
42.0	86.37514441143676
43.0	85.00066422063476
44.0	83.55289355483892
45.0	82.01852332442633
46.0	80.42315172896836
47.0	78.74980104227117
48.0	77.00521629121407
49.0	75.19897212370873
50.0	73.32987582158745
51.0	71.40932812540485
