#Read position (bp)	Clipping profile
0.0	1.4473246915139117
1.0	1.3652383655755325
2.0	1.2735892693720055
3.0	1.2347824184528295
4.0	1.1996806999242093
5.0	1.1700278784747158
6.0	1.1436126369950648
7.0	1.1185206570834691
8.0	1.0941167731872625
9.0	1.0709714580713399
10.0	1.0489435638351083
11.0	1.0270332928493708
12.0	1.005749365672513
13.0	0.9842948847824391
14.0	0.9633020751505534
15.0	0.942541571438393
16.0	0.9218751663266276
17.0	0.9020115398994827
18.0	0.8822920019541927
19.0	0.8627930076035786
20.0	0.8436057148667732
21.0	0.8249183209445664
22.0	0.8065249851485943
23.0	0.7889814773374402
24.0	0.7712115447690853
25.0	0.7534592556883045
26.0	0.7360686581027923
27.0	0.7188074460928232
28.0	0.7017814805838418
29.0	0.684870197744092
30.0	0.6690557517151969
31.0	0.6539294017016909
32.0	0.6391500402771416
33.0	0.6245765195409565
34.0	0.6102735322809072
35.0	0.5959117333956109
36.0	0.5827144046902036
37.0	0.5703933692009753
38.0	0.5584281440444908
39.0	0.5465481957446142
40.0	0.535179908584386
41.0	0.5241086201316545
42.0	0.5133196274801083
43.0	0.5033157700256083
44.0	0.49348540686558684
45.0	0.48443135715882446
46.0	0.4754684654711949
47.0	0.46719661038021654
48.0	0.45883065668884315
49.0	0.4507822857738031
50.0	0.4429221120595532
51.0	0.4357353314543803
52.0	0.42883378723165505
53.0	0.422146905441081
54.0	0.4161304761783218
55.0	0.4101993237721706
56.0	0.4047445455305194
57.0	0.39940444995809965
58.0	0.3942819573990935
59.0	0.3896975912110966
60.0	0.38523967001738063
61.0	0.3807111748733683
62.0	0.3762944218173251
63.0	0.37258928942676955
64.0	0.36935465003818935
65.0	0.3663287919192356
66.0	0.3635881701827295
67.0	0.3608563701900104
68.0	0.3588185473752048
69.0	0.3570365551302233
70.0	0.3555074528738036
71.0	0.3544841305945073
72.0	0.353366709714816
73.0	0.35262274265544247
74.0	0.3519581712901524
75.0	0.3517787958331493
76.0	0.3518229045520845
77.0	0.35237867441066784
78.0	0.35338729378365236
79.0	0.3541312608430258
80.0	0.3553133745104888
81.0	0.35696598117992706
82.0	0.3587156270310227
83.0	0.36076521217087765
84.0	0.3635881701827295
85.0	0.3663729006381708
86.0	0.3693223036443036
87.0	0.37258340826424485
88.0	0.3766884597064794
89.0	0.38085820393648556
90.0	0.38541904547438366
91.0	0.3899034318994608
92.0	0.3944348676247355
93.0	0.39932211368275394
94.0	0.40478865424945454
95.0	0.41041986736684655
96.0	0.41638042558562116
97.0	0.4224027360109051
98.0	0.4289249452507878
99.0	0.4359235286551705
100.0	0.4431014875165562
101.0	0.4510498786686765
102.0	0.4589335770330253
103.0	0.4671613234050684
104.0	0.47542435675225975
105.0	0.48440783250872577
106.0	0.49347952570306214
107.0	0.5035363136202843
108.0	0.5131990636483521
109.0	0.5240262838563089
110.0	0.5351769680031236
111.0	0.546486443538105
112.0	0.5583016990502099
113.0	0.5702404589753334
114.0	0.5828820178221573
115.0	0.5961910886155337
116.0	0.6102088394931355
117.0	0.6246441529099904
118.0	0.6392235548087002
119.0	0.6540205597208235
120.0	0.6694409678605642
121.0	0.6851848399391629
122.0	0.7016168080331505
123.0	0.7187486344675763
124.0	0.7361039450779404
125.0	0.7535768789387983
126.0	0.7713321086008414
127.0	0.7888432700181098
128.0	0.8065044010797578
129.0	0.8249947760573875
130.0	0.8436115960292978
131.0	0.8627488988846435
132.0	0.882294942535455
133.0	0.9021762124501741
134.0	0.9221309968964517
135.0	0.9426092048074269
136.0	0.9630374228369423
137.0	0.9841596180443711
138.0	1.0052200610452908
139.0	1.0262334547460128
140.0	1.0479173009745497
141.0	1.0700510561362255
142.0	1.0929905305637841
143.0	1.1167798329761605
144.0	1.1417306649871635
145.0	1.1680312237975832
146.0	1.1949610669981447
147.0	1.2267752156754625
148.0	1.2609771163378047
149.0	1.3560637520370142
150.0	1.4399820601018347
