#Duplication rate	Coverage
1.0	1746863.0
2.0	672007.0
3.0	264129.0
4.0	128708.0
5.0	62881.0
6.0	34055.0
7.0	18788.0
8.0	11385.0
9.0	6879.0
10.0	4528.0
11.0	2951.0
12.0	2106.0
13.0	1494.0
14.0	1068.0
15.0	829.0
16.0	666.0
17.0	541.0
18.0	399.0
19.0	396.0
20.0	333.0
21.0	240.0
22.0	213.0
23.0	195.0
24.0	192.0
25.0	172.0
26.0	173.0
27.0	149.0
28.0	139.0
29.0	111.0
30.0	108.0
31.0	100.0
32.0	92.0
33.0	99.0
34.0	87.0
35.0	62.0
36.0	58.0
37.0	56.0
38.0	53.0
39.0	63.0
40.0	61.0
41.0	63.0
42.0	54.0
43.0	59.0
44.0	40.0
45.0	51.0
46.0	43.0
47.0	39.0
48.0	41.0
49.0	37.0
50.0	931.0
