#Read position (bp)	Clipping profile
0.0	0.77902097200598
1.0	0.7718867180078076
2.0	0.762401737839736
3.0	0.7570480308915303
4.0	0.752313327456401
5.0	0.7478193787874637
6.0	0.7434661509987658
7.0	0.7390640988169239
8.0	0.734686037931713
9.0	0.730457817425461
10.0	0.7261545364297491
11.0	0.7218894170286786
12.0	0.7175628462362373
13.0	0.7131721583527997
14.0	0.7086735797845125
15.0	0.7041442755205402
16.0	0.6994973998730776
17.0	0.6947617143380862
18.0	0.6900275721028781
19.0	0.6852855730687734
20.0	0.6804513969476126
21.0	0.67570575011402
22.0	0.670845618496504
23.0	0.6659358206859624
24.0	0.66102097207613
25.0	0.6559565636872995
26.0	0.6508523101040643
27.0	0.6456609302330639
28.0	0.6403657283766426
29.0	0.6350212812271365
30.0	0.6309820447943464
31.0	0.6274036937968362
32.0	0.6238611192943023
33.0	0.6202918877955117
34.0	0.6168257767822403
35.0	0.614055132771308
36.0	0.6126629360668072
37.0	0.6126152340735057
38.0	0.6134243440598864
39.0	0.6146589838865122
40.0	0.6158857669142412
41.0	0.6170031159573375
42.0	0.6181375815980301
43.0	0.6193316747303496
44.0	0.6207488448313435
45.0	0.6223047716128525
46.0	0.6239027883884509
47.0	0.6256808100387723
48.0	0.6274686526877145
49.0	0.6294446376102367
50.0	0.6311818319662913
51.0	0.6327900906404514
52.0	0.6342187653398299
53.0	0.6355274835560532
54.0	0.6368801156661098
55.0	0.638135239289859
56.0	0.6394052347115199
57.0	0.6407741416192911
58.0	0.6421043257325
59.0	0.6434350710456301
60.0	0.6446385642766296
61.0	0.6455392901501451
62.0	0.6464976793155633
63.0	0.6472595082085836
64.0	0.6479775635077506
65.0	0.648643567514227
66.0	0.6492018211358342
67.0	0.6499057061369913
68.0	0.6503914246687842
69.0	0.650957955989229
70.0	0.6513827843295725
71.0	0.6516100702976558
72.0	0.6518443712647541
73.0	0.6520392479373885
74.0	0.6521304429245826
75.0	0.6522736892044672
76.0	0.6521657985196178
77.0	0.6520421942369748
78.0	0.6519167660545881
79.0	0.6516831665873913
80.0	0.6513830649295331
81.0	0.6510202491804815
82.0	0.6504440371613961
83.0	0.6499943757245398
84.0	0.6492925952230874
85.0	0.6488489666853838
86.0	0.6482099002751248
87.0	0.6474201516860252
88.0	0.6466511674940099
89.0	0.6456331508369648
90.0	0.6446980514682762
91.0	0.6435457677300855
92.0	0.6422430824130152
93.0	0.6409242625982104
94.0	0.6395852395862428
95.0	0.6383218382636558
96.0	0.6370582966410887
97.0	0.6357650114226983
98.0	0.6344757949037365
99.0	0.6330026451106036
100.0	0.6313992969357537
101.0	0.6295850778905154
102.0	0.6276882221568814
103.0	0.6258103069205876
104.0	0.6240458943683553
105.0	0.6224471760928554
106.0	0.6208955986107356
107.0	0.6194534551132486
108.0	0.6182618873805745
109.0	0.6171634788348185
110.0	0.6158992357123498
111.0	0.6145745232983726
112.0	0.6132673483819325
113.0	0.6124018378034719
114.0	0.6123852824057967
115.0	0.6137289353171143
116.0	0.6164855493300168
117.0	0.6198716893545181
118.0	0.623410054857643
119.0	0.6269245693641173
120.0	0.6304437137699415
121.0	0.6344647112052929
122.0	0.6398240301527106
123.0	0.6451200738090137
124.0	0.6503139790796595
125.0	0.6554360507603926
126.0	0.6605011606491246
127.0	0.6654188152585628
128.0	0.6703614432644943
129.0	0.6752003895849853
130.0	0.6799783054140465
131.0	0.6848065889360347
132.0	0.6895728598667311
133.0	0.6943022319026091
134.0	0.6990687834332661
135.0	0.7036854945849644
136.0	0.7082229362477942
137.0	0.7127347030142294
138.0	0.7171280565972927
139.0	0.7214115552957824
140.0	0.7256943524943705
141.0	0.729973501893471
142.0	0.7342443735937338
143.0	0.7385316603916916
144.0	0.7428721208821825
145.0	0.7471958856750177
146.0	0.7515492537636961
147.0	0.7560220171356082
148.0	0.7608822890531046
149.0	0.7705395575969826
150.0	0.7778886108649918
