#Position (bp)	insert size
15197.0	218.54550422464163
45590.0	219.8833638863428
75983.0	219.33406197762633
106376.0	218.8206075533662
136769.0	218.51868580170466
167162.0	217.43578091365703
197555.0	225.5570022710068
221485.0	219.23434848620167
236681.5	226.29731187629235
258341.0	216.83883505208064
288734.0	216.24766582114523
319127.0	216.54350908856517
349520.0	217.71964529331515
379913.0	216.1619711761971
410306.0	217.56153204117592
440699.0	217.38423271500844
471092.0	216.3190807055051
501485.0	216.85684611389993
531878.0	217.38713500700356
562271.0	215.9379760609358
592664.0	217.16088780918727
623057.0	218.03939428441308
653450.0	217.4392286716011
683843.0	217.54508284915
714236.0	219.1994008856473
744629.0	215.6624097723487
775022.0	216.0124531740407
805415.0	216.58289703315882
835808.0	217.91453437771975
866201.0	218.0676400476758
896594.0	219.1297595190381
926987.0	216.13934624697336
957380.0	218.72525671837448
987773.0	217.33387443303891
1018166.0	217.8341834566012
1038382.5	217.0380809940175
1053579.0	216.5697883258499
1078952.0	217.84254643072373
1109345.0	220.5162802020571
1139738.0	224.98248286367098
1170131.0	217.6187282451821
1200524.0	216.088066139468
1230917.0	215.11064657968717
1261310.0	220.1360883505522
1291703.0	218.71152190137207
1322096.0	220.79764830610574
1348657.5	215.523445889512
1363854.0	216.25024390243902
1382882.0	217.0823545479377
1413275.0	218.59060175794457
1443668.0	216.34799466860537
1474061.0	217.7341947392709
1504454.0	216.86920270974466
1534847.0	217.79673554715768
1565240.0	218.08052127384138
1595633.0	218.08926237161532
1626026.0	215.3968499635834
1656419.0	216.33309866237553
1686812.0	217.07752572497662
1717205.0	217.38178694158074
1747598.0	219.95348586229224
1777991.0	216.79815399562787
1808384.0	216.41424418604652
1838777.0	216.47361237488627
1869170.0	220.44501902624646
1899563.0	219.28356964136782
1929956.0	215.39187744923404
1960349.0	216.6688011383849
1990742.0	217.56013624618276
2021135.0	215.91904935348754
2051528.0	216.80636984791713
2081921.0	216.07811561110444
2112314.0	223.34712567582477
2142707.0	217.2684659090909
2173100.0	216.87887154861946
2203493.0	217.45189465197527
2233886.0	223.5958770906262
2264279.0	217.07141885457762
2294672.0	216.1114488348531
