#Position (bp)	insert size
15197.0	245.06576325229176
45590.0	261.577416918429
75983.0	262.8637459807074
106376.0	265.84966499162476
136769.0	254.94613379669852
167162.0	252.2702149437052
197555.0	257.41620421753606
221485.0	256.4598051157125
236681.5	259.8058375634518
258341.0	249.85504652827487
288734.0	250.44673792849244
319127.0	254.25831104317922
349520.0	257.89338521400776
379913.0	252.26602282704127
410306.0	257.9002920317063
440699.0	254.28471138845555
471092.0	240.77605633802816
501485.0	250.52109612875162
531878.0	254.30353634577602
562271.0	248.07392197125256
592664.0	252.95551982851018
623057.0	253.758769562871
653450.0	252.63531870428423
683843.0	258.3797338792221
714236.0	256.2918379330593
744629.0	252.09879032258064
775022.0	245.02947154471545
805415.0	249.0984952120383
835808.0	252.05109837631326
866201.0	251.16993736951983
896594.0	255.3053304904051
926987.0	260.90429042904293
957380.0	253.35709010339735
987773.0	251.30557593543654
1018166.0	255.33737517831668
1038382.5	245.90646094503376
1053579.0	244.337516808606
1078952.0	254.65611567018365
1109345.0	268.7217953902143
1139738.0	252.11492608488317
1170131.0	242.2683486238532
1200524.0	246.54499072356217
1230917.0	250.62410450906026
1261310.0	265.044140625
1291703.0	261.2413793103448
1322096.0	253.63453079178885
1348657.5	239.5909475465313
1363854.0	241.03023516237403
1382882.0	249.7542110690959
1413275.0	257.51508295625945
1443668.0	250.24311926605503
1474061.0	256.7426829268293
1504454.0	251.51167315175098
1534847.0	250.27323103154305
1565240.0	256.0021017234132
1595633.0	250.88312274368232
1626026.0	248.60204081632654
1656419.0	251.31781852374235
1686812.0	245.55732309380141
1717205.0	258.82041688936397
1747598.0	256.46817248459956
1777991.0	251.27382146439317
1808384.0	241.33951271186442
1838777.0	250.24672048435923
1869170.0	241.76575682382133
1899563.0	264.69688608592827
1929956.0	245.98082510168507
1960349.0	247.7591036414566
1990742.0	251.2241573033708
2021135.0	249.6765893037336
2051528.0	251.36791979949874
2081921.0	247.85135884636716
2112314.0	257.59419496166487
2142707.0	250.33488372093024
2173100.0	252.76383342840845
2203493.0	246.9301909307876
2233886.0	256.69441723800196
2264279.0	249.6078431372549
2294672.0	252.25224719101124
2325065.0	244.38676707907476
2355458.0	248.81213743864348
2385851.0	248.4665542439573
2416244.0	255.390756302521
2446637.0	250.22648941408173
2477030.0	247.48952095808383
2507423.0	250.17055084745763
2537816.0	248.10074441687345
2568209.0	245.4851485148515
2598602.0	253.3490613901573
2628995.0	252.18034265103697
2659388.0	253.13660017346055
2689781.0	248.51603375527426
2720174.0	245.51069958847737
2750567.0	253.20087509944312
2780960.0	260.3205233033524
2811353.0	251.34558529764283
2841746.0	251.7995301487862
2872139.0	249.79625076828518
2889645.5	277.75541401273887
2904842.0	261.1191785845251
2932925.0	253.48820754716982
2963318.0	261.1930823117338
2993711.0	253.09653024911032
3024104.0	252.73186409550047
3054497.0	254.27755819060167
3084890.0	249.21395544346365
3115283.0	250.57663316582915
3145676.0	255.76408912188728
3176069.0	253.01019503546098
3206462.0	250.32939001848428
3236855.0	247.6020369671822
3267248.0	260.49591078066913
3297641.0	260.3519003931848
3322340.5	242.16984924623117
3337537.0	0.0
3358427.0	213.6
3388820.0	195.77777777777777
3410819.5	201.5
3426016.0	246.2146860986547
3449606.0	256.1010390541025
3479999.0	250.66796267496113
3510392.0	258.1952026468156
3540785.0	247.27426955702168
3571178.0	250.7332098193608
3601571.0	255.14966292134832
3631964.0	253.97113402061856
3662357.0	251.35655934646803
3692750.0	251.06456173421302
3723143.0	245.55981524249424
3753536.0	259.0395593390085
3783929.0	247.4734793187348
3814322.0	247.0535390199637
3844715.0	245.1612616614838
3875108.0	249.9989350372737
3905501.0	246.98621217924168
3935894.0	261.9413043478261
3966287.0	251.5573352748453
3987990.0	251.9643312101911
4003186.5	250.56479909451048
4027073.0	255.31677250653718
4057466.0	263.6708463949843
4087859.0	251.76178861788617
4118252.0	248.03691550451188
4148645.0	244.44945240101094
4179038.0	256.90078125
4209431.0	259.4688402806438
4239824.0	254.51379310344828
4259839.0	241.48512585812358
4275035.5	240.67319587628867
4300610.0	256.2140733399405
4331003.0	252.40925141242937
4361396.0	254.2542309138774
4391789.0	258.512105649303
4422182.0	250.3129803586678
4452575.0	253.56566916043226
4482968.0	255.73686614892645
4513361.0	253.01089324618735
4543754.0	248.41652021089632
4574147.0	248.14393581878244
4604540.0	241.94956772334294
4634933.0	253.68844696969697
4665326.0	253.69372873116188
4695719.0	246.68729989327642
4726112.0	263.47972972972974
4756505.0	259.45454545454544
4786898.0	261.4444949954504
4817291.0	246.93316728933166
4847684.0	246.24184529356944
4878077.0	251.3451974646514
4908470.0	256.43056943056945
4938863.0	251.99312169312168
4969256.0	254.94744121715075
4999649.0	248.74001996007985
5030042.0	248.64958158995816
5060435.0	252.8870564717641
5090828.0	245.81846019247595
5121221.0	251.56423059464367
5151614.0	251.39730483271376
5182007.0	247.93188994136221
5212400.0	244.9231830726771
5242793.0	260.54773427188735
5273186.0	256.2469879518072
5303579.0	252.27537372147916
5333972.0	254.6600817438692
5352383.0	270.38933333333335
5367579.5	249.37772087067862
5394758.0	260.5913685847589
5425151.0	248.93910256410257
5455544.0	246.93192675159236
5485937.0	255.85152838427948
5516330.0	258.9277730008599
5546723.0	258.806880733945
5577116.0	239.74067333939945
5607509.0	249.11037234042553
5637902.0	256.8512953367876
5668295.0	251.16780045351473
5698688.0	254.92763157894737
5729081.0	244.65360641139804
5759474.0	246.3650519031142
5789867.0	251.8009032743696
5820260.0	248.4887471867967
5850653.0	251.1078301260783
5881046.0	257.5806451612903
5907241.5	253.6664156626506
5922438.0	264.10399159663865
5941832.0	263.00097118808674
5972225.0	245.76050110537952
6002618.0	253.10738255033556
6033011.0	256.43344857389803
6063404.0	248.34747215081404
6093797.0	261.25034642032335
6124190.0	245.8383324860193
6154583.0	249.3406795224977
6184976.0	248.7037552155772
6215369.0	260.2831813576494
6245762.0	251.54444935869085
6276155.0	256.85420743639924
6306548.0	252.0355249204666
6336941.0	248.65436408977556
6367334.0	250.45375457875457
6397727.0	252.74538878842677
6428120.0	248.47448522829006
6458513.0	251.12958115183247
6488906.0	257.969696969697
6519299.0	249.17131816230142
6549692.0	252.06888633754306
6580085.0	253.73455459770116
6610478.0	255.19247009148486
6640871.0	258.15283400809716
6660029.5	240.85906040268458
6675226.0	239.87412587412587
6701657.0	259.4406487232574
6732050.0	258.66059479553905
6762443.0	257.51153379198706
6792836.0	252.42851667305482
6823229.0	251.51651254953765
6853622.0	247.53526611856338
6884015.0	253.26382380506092
6914408.0	261.1156095366622
6944801.0	249.45759463344513
6975194.0	251.39742366412213
7005587.0	258.1767142199724
7035980.0	254.4223107569721
7066373.0	244.86103896103896
7096766.0	250.4665718349929
7127159.0	256.73986928104574
7157552.0	246.79442363712027
7187945.0	258.62702265372167
7218338.0	252.82142857142858
7248731.0	247.46139288417865
7279124.0	255.38391801340165
7309517.0	250.18593481989708
7327760.5	239.99172413793104
7342957.0	259.6680373831776
7370303.0	251.28331379445095
7400696.0	253.58572600492207
7431089.0	261.8377888536475
7461482.0	243.81954225352112
7491875.0	247.89676616915423
7522268.0	253.150765606596
7552661.0	246.57571964956196
7583054.0	249.61912751677852
7613447.0	249.71297836938436
7643840.0	255.82565217391306
7674233.0	258.66968520914185
7704626.0	249.8386641580433
7735019.0	256.5919799498747
7765412.0	250.9208309938237
7795805.0	261.3259493013889
7826198.0	249.4484429065744
7856591.0	256.88404977375563
7886984.0	256.4330512692882
7917377.0	248.77315860822412
7947770.0	255.19119070667958
7978163.0	258.4781128404669
8008556.0	243.51654910472055
8038949.0	246.6477445514445
8069342.0	246.47838899803537
8099735.0	250.5275590551181
8130128.0	250.09493670886076
8160521.0	253.25346446133213
8190914.0	250.8178019222733
8221307.0	264.2815651472368
8251700.0	256.5054474708171
8282093.0	253.37704280155643
8312486.0	244.0438247011952
8342879.0	254.77130570758405
8373272.0	245.91511095456147
8398726.5	254.9775619557937
8413923.0	255.8370635631155
8434058.0	259.0260936300844
8464451.0	249.58494623655915
8494844.0	253.96288659793814
8525237.0	255.39528145695365
8555630.0	254.82652631578947
8586023.0	249.18987341772151
8616416.0	255.85883748517202
8646809.0	254.67266851338874
8677202.0	252.9580223880597
8707595.0	249.88178294573643
8737988.0	250.17165953399905
8768381.0	249.29124945581194
8798774.0	253.67338003502627
8829167.0	248.7987486965589
8859560.0	255.39370877727043
8889953.0	252.18232323232323
8920346.0	253.2353252247488
8950739.0	250.34439178515007
8981132.0	245.88751238850347
9011525.0	256.9022727272727
9041918.0	256.35367683841923
9072311.0	254.89703932832523
9102704.0	249.13568281938325
9133097.0	248.32869080779943
9163490.0	252.71622846781506
9193883.0	252.93341761483353
9224276.0	249.27803443931123
9254669.0	246.56805444355484
9285062.0	256.7960477255779
9315455.0	257.20174110522333
9332033.5	234.73482428115017
9347230.0	254.24082784571965
9376241.0	253.08161258603735
9406634.0	259.2629141432134
9437027.0	252.27386438446345
9467420.0	254.80676516329706
9497813.0	246.78577476714648
9528206.0	261.07265692175406
9558599.0	250.0196335078534
9588992.0	258.3220264317181
9619385.0	256.4394278050961
9649778.0	252.84997540580423
9680171.0	252.41026944585664
9710564.0	248.25197680548234
9740957.0	252.1347099311701
9771350.0	257.95510396975425
9801743.0	250.79720976581964
9832136.0	255.51655956500247
9862529.0	250.23668885191347
9892922.0	246.05662805662806
9923315.0	255.4286334056399
9953708.0	248.15023255813952
9984101.0	262.6461538461538
1.0014494E7	251.47517455391775
1.0044887E7	253.84022824536376
1.007528E7	252.10953346855985
1.01041125E7	247.25528401585206
1.0119309E7	232.23059360730593
1.0136066E7	248.15168727029737
1.0166459E7	250.59421841541757
1.0196852E7	251.74843462246778
1.0227245E7	252.46907600596126
1.0257638E7	247.6141592920354
1.0288031E7	253.47967128027682
1.0318424E7	252.80143945808638
1.0348817E7	251.53681267474371
1.037921E7	251.7116594097726
1.0409603E7	248.19098143236073
1.0439996E7	248.367478180983
1.0470389E7	247.73633603238866
1.0500782E7	255.0916538658474
1.0531175E7	250.99081632653062
1.0561568E7	252.86252545824848
1.0591961E7	255.01230138390568
1.0622354E7	248.993618065783
1.0652747E7	252.86439842209072
1.068314E7	253.08964525407478
1.0713533E7	247.5846011987091
1.0743926E7	250.9251700680272
1.0774319E7	251.61807732497388
1.0804712E7	249.74464751958226
1.0835105E7	248.46046957355054
1.0865498E7	250.36498973305956
1.0895891E7	253.3964440172994
1.0926284E7	248.9320614239181
1.0956677E7	254.19567262464722
1.098707E7	255.27154398563735
1.1017463E7	250.74427302477793
1.1047856E7	259.4852941176471
1.1078249E7	255.10090984284534
1.1108642E7	248.377420683972
1.1139035E7	253.26071842410198
1.1169428E7	256.4586628324946
1.1196832E7	257.3137521222411
1.12120285E7	271.2687338501292
1.1230214E7	248.77175753471047
1.1260607E7	252.17780026990553
1.1291E7	253.19442292796282
1.1321393E7	256.5056772100568
1.1351786E7	257.12552831783603
1.1382179E7	251.65837405597512
1.1412572E7	246.06285218899004
1.1442965E7	247.73836961160904
1.1473358E7	250.16578821274555
1.1503751E7	253.79107981220656
1.1534144E7	247.56698444555946
1.1564537E7	252.1587537091988
1.159493E7	260.2580808080808
1.1625323E7	247.3258883248731
1.1655716E7	236.0622200099552
1.1686109E7	253.04185351270553
1.1716502E7	252.20446473871132
