#Coverage (X)	Coverage
1.0	99.05711104740809
2.0	98.9026005780159
3.0	98.61371601215914
4.0	98.28243648467296
5.0	97.8191518457725
6.0	97.25122880817432
7.0	96.50149439360769
8.0	95.58299447113437
9.0	94.45944573152902
10.0	93.09496792205053
11.0	91.43171009874473
12.0	89.46395544004926
13.0	87.16111278137353
14.0	84.55754885723205
15.0	81.64289113238719
16.0	78.42509380317107
17.0	74.91552470756812
18.0	71.18917702857712
19.0	67.2776701361056
20.0	63.20904524555805
21.0	59.053302574914014
22.0	54.85384061419228
23.0	50.628073048641106
24.0	46.49650554140974
25.0	42.471303817808604
26.0	38.58480287864587
27.0	34.894960601228675
28.0	31.424981523150464
29.0	28.1363531860587
30.0	25.106799686274
31.0	22.297602924380442
32.0	19.721816995082307
33.0	17.380980093533793
34.0	15.259200278355749
35.0	13.349600912388269
36.0	11.627143139752434
37.0	10.115862287937802
38.0	8.796115522568911
39.0	7.630171821334116
40.0	6.594160369594576
41.0	5.696315035528613
42.0	4.923540596219254
43.0	4.247252943854647
44.0	3.678120736803706
45.0	3.183175599783013
46.0	2.768660795477217
47.0	2.403730164377137
48.0	2.096305000244726
49.0	1.8326155774750816
50.0	1.610671290574544
51.0	1.4149092238654077
