#Duplication rate	Coverage
1.0	348138.0
2.0	350380.0
3.0	34591.0
4.0	58973.0
5.0	8086.0
6.0	13019.0
7.0	2525.0
8.0	3622.0
9.0	946.0
10.0	1245.0
11.0	418.0
12.0	477.0
13.0	220.0
14.0	241.0
15.0	169.0
16.0	121.0
17.0	78.0
18.0	78.0
19.0	55.0
20.0	57.0
21.0	34.0
22.0	32.0
23.0	20.0
24.0	27.0
25.0	27.0
26.0	31.0
27.0	17.0
28.0	15.0
29.0	20.0
30.0	7.0
31.0	12.0
32.0	13.0
33.0	9.0
34.0	10.0
35.0	6.0
36.0	8.0
37.0	3.0
38.0	5.0
39.0	3.0
40.0	10.0
41.0	4.0
42.0	6.0
43.0	4.0
44.0	2.0
45.0	5.0
46.0	6.0
47.0	3.0
48.0	3.0
49.0	3.0
50.0	64.0
