#Read position (bp)	Clipping profile
0.0	1.0260166096962902
1.0	1.0118142796098906
2.0	0.9934612168166944
3.0	0.9822482516980513
4.0	0.9717114655824356
5.0	0.9615566600008494
6.0	0.9517786929076422
7.0	0.9416966105431116
8.0	0.9317463849206162
9.0	0.9221410436456724
10.0	0.912409354963319
11.0	0.9028047482663254
12.0	0.8932078546378073
13.0	0.8835110584080815
14.0	0.8735949906602638
15.0	0.8635184176303585
16.0	0.8531520535991559
17.0	0.8428069923285049
18.0	0.8323304416047937
19.0	0.8219424075240644
20.0	0.8113821149140469
21.0	0.8009022585895604
22.0	0.7904025686604225
23.0	0.7798940637958839
24.0	0.7694685662397017
25.0	0.7585619201262322
26.0	0.7474826481944994
27.0	0.7362351579122035
28.0	0.7248598510665979
29.0	0.7134514882132396
30.0	0.7023325490722037
31.0	0.6914167207343584
32.0	0.6808733234171921
33.0	0.6702917280466228
34.0	0.6596697308888004
35.0	0.6491035616551823
36.0	0.6389322280697198
37.0	0.6293118279468
38.0	0.6198662573759937
39.0	0.6106943170915835
40.0	0.6013559949014855
41.0	0.5924224251618687
42.0	0.5841642998473294
43.0	0.5761456469445085
44.0	0.5684164177540101
45.0	0.5609005834580031
46.0	0.5532183672563084
47.0	0.5455985901803684
48.0	0.538154009945517
49.0	0.530933843274408
50.0	0.5235539058991615
51.0	0.5164281324946348
52.0	0.5099392381728074
53.0	0.5036229696692434
54.0	0.4977118209051357
55.0	0.4920985434997761
56.0	0.48659765652077525
57.0	0.48123927766408525
58.0	0.47595141829060095
59.0	0.4710021993520927
60.0	0.4660621626379602
61.0	0.46149749525630673
62.0	0.45728358884580556
63.0	0.4533991406459048
64.0	0.44974020787667146
65.0	0.44648712942484464
66.0	0.44365643329430043
67.0	0.44126464748891525
68.0	0.4388023422003246
69.0	0.43672752678038895
70.0	0.43460276005984944
71.0	0.43316959847928843
72.0	0.43203136994567537
73.0	0.43107458216572625
74.0	0.43070362030094755
75.0	0.430645221353918
76.0	0.43064962882161834
77.0	0.4309537440929419
78.0	0.4319164084964915
79.0	0.4330417819159786
80.0	0.434507264926342
81.0	0.4364575693837431
82.0	0.438433216780421
83.0	0.4409223341641888
84.0	0.4433589292245274
85.0	0.44621974305102385
86.0	0.44943792905022306
87.0	0.453040666606277
88.0	0.4568656139922232
89.0	0.46095464215121473
90.0	0.4654337312016865
91.0	0.47048432189730255
92.0	0.47542656234528524
93.0	0.4808238738333281
94.0	0.48617086673179216
95.0	0.49166367335334243
96.0	0.4972288359029733
97.0	0.5031039903475282
98.0	0.5094316448093181
99.0	0.5159455147814475
100.0	0.5228703811166336
101.0	0.5301581289591479
102.0	0.5374168609726349
103.0	0.5448496879602854
104.0	0.552399312841995
105.0	0.5599709750622062
106.0	0.56757569329017
107.0	0.5752795795413914
108.0	0.5833353286306903
109.0	0.5917322891777903
110.0	0.6004822144298928
111.0	0.6096255061742507
112.0	0.6187265596864804
113.0	0.6281137313102572
114.0	0.637734498722152
115.0	0.6478753473226873
116.0	0.6585583144503643
117.0	0.6691031809234308
118.0	0.6796116857879695
119.0	0.69027371744407
120.0	0.7010775226445314
121.0	0.712127778747237
122.0	0.7235027183038678
123.0	0.7349434025870285
124.0	0.7462085227401258
125.0	0.7572697975120821
126.0	0.7682263949261555
127.0	0.7786662167523638
128.0	0.7891559898791759
129.0	0.7996138088651606
130.0	0.8099779691625132
131.0	0.8205911513849349
132.0	0.8310475012150196
133.0	0.8415181753151303
134.0	0.8518470758708799
135.0	0.8620819504490224
136.0	0.8721460356537765
137.0	0.8820801005613708
138.0	0.891744208072319
139.0	0.9012004300234012
140.0	0.9107730825795672
141.0	0.9204269059992147
142.0	0.9301527180579678
143.0	0.9399997354784803
144.0	0.9499110284696226
145.0	0.9595380397940929
146.0	0.9694254590018585
147.0	0.9794370218831836
148.0	0.9898834549109425
149.0	1.0088443809578105
150.0	1.0232303555317244
