#Mapping quality	mapping quality
0.0	240715.0
1.0	156425.0
2.0	40270.0
3.0	28394.0
4.0	21772.0
5.0	18692.0
6.0	18465.0
7.0	18052.0
8.0	20255.0
9.0	23799.0
10.0	32498.0
11.0	23158.0
12.0	16616.0
13.0	14046.0
14.0	13090.0
15.0	11467.0
16.0	11543.0
17.0	12150.0
18.0	11932.0
19.0	12872.0
20.0	13999.0
21.0	15592.0
22.0	18152.0
23.0	16584.0
24.0	18155.0
25.0	18424.0
26.0	18736.0
27.0	18657.0
28.0	19494.0
29.0	19903.0
30.0	18078.0
31.0	18492.0
32.0	20192.0
33.0	21672.0
34.0	26844.0
35.0	30787.0
36.0	42259.0
37.0	56048.0
38.0	90475.0
39.0	151010.0
40.0	340674.0
41.0	918631.0
42.0	3068172.0
43.0	5792922.0
44.0	531509.0
