#Coverage (X)	Coverage
1.0	99.13274583052461
2.0	99.04952700499008
3.0	98.91410825192347
4.0	98.76989628698608
5.0	98.60084288159064
6.0	98.41320774970686
7.0	98.20425175237033
8.0	97.97860592632868
9.0	97.73769330774061
10.0	97.48719781559836
11.0	97.22440498786511
12.0	96.95103398383085
13.0	96.68296851923218
14.0	96.40689127880363
15.0	96.11662480500087
16.0	95.81075428730772
17.0	95.50541021073685
18.0	95.19879938521548
19.0	94.87580307976282
20.0	94.54824976834534
21.0	94.21395965569106
22.0	93.87211840318892
23.0	93.52402566235958
24.0	93.17476488029017
25.0	92.80415855584039
26.0	92.42025959305279
27.0	92.01160144623248
28.0	91.59632165717085
29.0	91.16911468643234
30.0	90.72446935351796
31.0	90.26598026421587
32.0	89.7994547221563
33.0	89.31633805910207
34.0	88.81322485904333
35.0	88.29562630247908
36.0	87.75499594681463
37.0	87.20121278873548
38.0	86.64766817428985
39.0	86.07190609935506
40.0	85.48058933438512
41.0	84.85914204080659
42.0	84.22992151503175
43.0	83.58482549916283
44.0	82.91451788892175
45.0	82.23195407130234
46.0	81.52537137747844
47.0	80.80728100974697
48.0	80.06175812415867
49.0	79.31423640743417
50.0	78.54800135394076
51.0	77.76666402075165
