#Coverage (X)	Coverage
1.0	99.65025390502097
2.0	99.17866136715936
3.0	98.1042526160628
4.0	96.36243990654025
5.0	93.63567230849779
6.0	90.08896443684577
7.0	85.54698672093397
8.0	80.29440397199826
9.0	74.38228097890081
10.0	68.15958240057975
11.0	61.77638508510044
12.0	55.437688495739735
13.0	49.27914170355525
14.0	43.42056764336575
15.0	37.99825698634667
16.0	33.03084903848408
17.0	28.561215848674493
18.0	24.55114108169667
19.0	21.009212308357945
20.0	17.896431757396186
21.0	15.19257257381588
22.0	12.85069924130785
23.0	10.825784592631209
24.0	9.089589996960612
25.0	7.628164764555365
26.0	6.401063411067014
27.0	5.369049621599871
28.0	4.480992802151491
29.0	3.75974378768629
30.0	3.16712737119569
31.0	2.6769448812032124
32.0	2.269224457631978
33.0	1.9371470428198165
34.0	1.6655363262882048
35.0	1.439166643703416
36.0	1.2620521086228962
37.0	1.1138260301280525
38.0	0.9909020280732932
39.0	0.8967266466810884
40.0	0.8198662428267198
41.0	0.7560517080341072
42.0	0.7026014828365845
43.0	0.6574920591703375
44.0	0.6206082780398816
45.0	0.5866281487245573
46.0	0.5579782357724241
47.0	0.5311873180333748
48.0	0.5096032320194723
49.0	0.4901660387074145
50.0	0.47447151274913324
51.0	0.4600026075286934
