#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	5.7537399309551206E-6
7.0	5.7537399309551206E-6
8.0	1.1507479861910241E-5
9.0	5.7537399309551206E-6
10.0	2.3014959723820482E-5
11.0	4.6029919447640965E-5
12.0	4.0276179516685844E-5
13.0	5.1783659378596085E-5
14.0	9.781357882623706E-5
15.0	8.63060989643268E-5
16.0	1.2082853855005754E-4
17.0	1.380897583429229E-4
18.0	2.4165707710011502E-4
19.0	2.2439585730724972E-4
20.0	3.2796317606444185E-4
21.0	3.624856156501726E-4
22.0	3.855005753739931E-4
23.0	5.178365937859609E-4
24.0	7.192174913693901E-4
25.0	0.0011334867663981589
26.0	0.0013176064441887225
27.0	0.002140391254315305
28.0	0.0033716915995397004
29.0	0.005581127733026467
30.0	0.008728423475258918
31.0	0.012761795166858459
32.0	0.018325661680092063
33.0	0.025822784810126582
34.0	0.03375719217491369
35.0	0.04397583429228998
36.0	0.05281357882623705
37.0	0.06474683544303798
38.0	0.07163406214039127
39.0	0.07692174913693901
40.0	0.07913118527042577
41.0	0.07814729574223245
42.0	0.07307825086306098
43.0	0.06641542002301495
44.0	0.058596087456846954
45.0	0.04875719217491369
46.0	0.04037399309551208
47.0	0.03231875719217491
48.0	0.025385500575373993
49.0	0.019482163406214035
50.0	0.015040276179516688
51.0	0.013066743383199077
52.0	0.007186421173762947
53.0	0.00575373993095512
54.0	0.0037399309551208286
55.0	0.0023014959723820483
56.0	0.0013233601841196778
57.0	9.781357882623705E-4
58.0	6.271576524741082E-4
59.0	4.085155350978136E-4
60.0	4.027617951668584E-4
61.0	3.624856156501726E-4
62.0	3.107019562715765E-4
63.0	1.4959723820483312E-4
64.0	1.093210586881473E-4
65.0	2.3014959723820482E-5
66.0	1.1507479861910241E-5
67.0	5.7537399309551206E-6
68.0	1.1507479861910241E-5
69.0	5.7537399309551206E-6
70.0	0.0
71.0	0.0
72.0	5.7537399309551206E-6
73.0	5.7537399309551206E-6
74.0	0.0
75.0	5.7537399309551206E-6
76.0	0.0
77.0	0.0
78.0	5.7537399309551206E-6
79.0	0.0
80.0	1.7261219792865362E-5
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	5.7537399309551206E-6
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.7537399309551206E-6
