#Position (bp)	mapping quality
15197.0	33.53606027987083
45590.0	42.87292817679558
75983.0	41.680642907058
106376.0	42.71945184621241
136769.0	42.345498783454985
167162.0	37.52597943873298
197555.0	29.974955908289243
221485.0	7.401558073654391
236681.5	16.672634271099746
258341.0	35.479166666666664
288734.0	39.941451990632316
319127.0	40.77269670477472
349520.0	44.0
379913.0	43.66230186078567
410306.0	40.804497189256715
440699.0	38.437377306635256
471092.0	17.416058394160583
501485.0	30.366950757575758
531878.0	43.59838430467398
562271.0	43.627688697692605
592664.0	43.18796992481203
623057.0	41.132701421800945
653450.0	41.89634864546525
683843.0	38.82251082251082
714236.0	39.11678832116788
744629.0	43.06607369758577
775022.0	43.486865148861646
805415.0	40.61961961961962
835808.0	43.410841654778885
866201.0	42.354066985645936
896594.0	39.577735124760075
926987.0	42.892396907216494
957380.0	42.71536102592696
987773.0	43.662819869543405
1018166.0	40.479442821837786
1038382.5	34.316901408450704
1053579.0	28.237951807228917
1078952.0	42.71045751633987
1109345.0	40.79832285115304
1139738.0	41.66597077244259
1170131.0	42.53556211078335
1200524.0	31.815262561390252
1230917.0	44.0
1261310.0	42.628948420631744
1291703.0	40.80566801619433
1322096.0	41.80618686868687
1348657.5	34.24843577475156
1363854.0	1.0
1382882.0	25.77462974887315
1413275.0	42.30842305256491
1443668.0	42.799578947368424
1474061.0	42.13027229044314
1504454.0	39.11186440677966
1534847.0	44.0
1565240.0	39.3955223880597
1595633.0	40.95784996133024
1626026.0	44.0
1656419.0	42.1689497716895
1686812.0	42.630852994555354
1717205.0	44.0
1747598.0	37.59977452085682
1777991.0	44.0
1808384.0	36.18515037593985
1838777.0	42.10151615029664
1869170.0	33.49899699097292
1899563.0	30.337579617834393
1929956.0	43.15587529976019
1960349.0	43.10349373764008
1990742.0	39.57000524383849
2021135.0	41.75636166756903
2051528.0	44.0
2081921.0	44.0
2112314.0	34.324521422060165
2142707.0	44.0
2173100.0	40.24430199430199
2203493.0	42.34142640364188
2233886.0	22.5
2264279.0	44.0
2294672.0	41.6641975308642
2325065.0	44.0
2355458.0	29.8314344142565
2385851.0	40.753016894609814
2416244.0	44.0
2446637.0	44.0
2477030.0	43.01512859304085
2507423.0	44.0
2537816.0	40.40551724137931
2568209.0	35.3234649122807
2598602.0	37.80415290231241
2628995.0	43.46626460610629
2659388.0	40.702137767220904
2689781.0	42.50617283950617
2720174.0	36.70700636942675
2750567.0	43.09115646258503
2780960.0	41.2062015503876
2811353.0	41.29711286089239
2841746.0	43.03703703703704
2872139.0	39.416814683244525
2889645.5	1.0
2904842.0	2.034776437189496
2932925.0	42.39083632348882
2963318.0	43.467032967032964
2993711.0	42.63621533442088
3024104.0	42.43974630021142
3054497.0	42.596774193548384
3084890.0	37.23921887713588
3115283.0	39.04504504504504
3145676.0	41.4789644012945
3176069.0	43.78246205733558
3206462.0	43.18272604588394
3236855.0	41.20324005891016
3267248.0	39.672214182344426
3297641.0	39.775779376498804
3322340.5	37.33201581027668
3337537.0	39.30088797814208
3358427.0	39.11680537304716
3388820.0	38.40265742345465
3410819.5	38.27552526973311
3426016.0	27.427772600186394
3449606.0	35.16195476575121
3479999.0	42.44553819815964
3510392.0	41.6514875531269
3540785.0	43.519427890345646
3571178.0	43.20488165680474
3601571.0	42.28722280887012
3631964.0	43.29503239740821
3662357.0	41.26061397779229
3692750.0	41.68483816013629
3723143.0	41.59567979669632
3753536.0	43.516666666666666
3783929.0	37.61258561643836
3814322.0	38.56944444444444
3844715.0	44.0
3875108.0	35.832632785632406
3905501.0	36.718834322719914
3935894.0	41.94837720419116
3966287.0	43.10312558487741
3987990.0	15.891111839947524
4003186.5	13.37649063032368
4027073.0	41.43971205758848
4057466.0	43.24605855855856
4087859.0	42.59539918809202
4118252.0	37.25239852398524
4148645.0	36.62208258527828
4179038.0	43.208695652173915
4209431.0	39.79518689196109
4239824.0	39.3046875
4259839.0	43.0
4275035.5	27.12566844919786
4300610.0	42.661095636026
4331003.0	43.5750686005488
4361396.0	38.57397691500525
4391789.0	42.5633017289459
4422182.0	37.39426800929512
4452575.0	42.38572871087176
4482968.0	39.779770802192324
4513361.0	42.740285155157956
4543754.0	41.25414731254147
4574147.0	41.375
4604540.0	43.111111111111114
4634933.0	43.76093294460642
4665326.0	40.457857142857144
4695719.0	42.18222976796831
4726112.0	40.95621716287216
4756505.0	38.882953652788686
4786898.0	37.62390559573658
4817291.0	38.37001414427157
4847684.0	36.13850415512465
4878077.0	40.30229419703104
4908470.0	44.0
4938863.0	42.29454170957776
4969256.0	27.431731502669717
4999649.0	42.666666666666664
5030042.0	40.784082535003684
5060435.0	42.659685863874344
5090828.0	19.525776715602596
5121221.0	42.72870662460568
5151614.0	42.748964374482185
5182007.0	40.889671361502344
5212400.0	42.836467702371216
5242793.0	42.64031496062992
5273186.0	43.72374429223744
5303579.0	43.4593023255814
5333972.0	36.36204744069913
5352383.0	1.0
5367579.5	37.77885391444713
5394758.0	42.41993058998513
5425151.0	43.25037147102526
5455544.0	32.55803955288048
5485937.0	40.88310945984567
5516330.0	39.288534548215644
5546723.0	40.09388458225668
5577116.0	17.90693257359924
5607509.0	43.04149377593361
5637902.0	39.18799102132436
5668295.0	41.58881118881119
5698688.0	43.60093348891482
5729081.0	41.36274509803921
5759474.0	41.39914163090129
5789867.0	42.5149359886202
5820260.0	40.544493392070486
5850653.0	42.85916322922805
5881046.0	35.2038248616004
5907241.5	4.577674418604651
5922438.0	1.8577494692144374
5941832.0	23.120141342756185
5972225.0	41.921463152232384
6002618.0	40.01820795400096
6033011.0	43.61038961038961
6063404.0	43.25277082588487
6093797.0	44.0
6124190.0	44.0
6154583.0	43.81409523809524
6184976.0	42.152530292230935
6215369.0	33.97212543554007
6245762.0	39.01864898466639
6276155.0	42.25813113061435
6306548.0	41.86571172784244
6336941.0	43.414955735543415
6367334.0	42.01513877207738
6397727.0	32.08914325355533
6428120.0	42.9987888574889
6458513.0	40.64182692307692
