#Coverage (X)	Coverage
1.0	97.44181694572845
2.0	96.34458203659506
3.0	94.80884634952153
4.0	93.79316046048793
5.0	92.55173003770223
6.0	91.6469504869786
7.0	90.59459468352046
8.0	89.77691646160825
9.0	88.86182195514475
10.0	88.1123096329266
11.0	87.26030580471256
12.0	86.56032830184489
13.0	85.7637324017519
14.0	85.08885955990345
15.0	84.34101704312006
16.0	83.68768715907282
17.0	82.96511381615936
18.0	82.32817763768595
19.0	81.64226598355448
20.0	81.02942271206838
21.0	80.36995649868945
22.0	79.77131068622012
23.0	79.15012661320273
24.0	78.56966769638002
25.0	77.94708526413156
26.0	77.37748419545608
27.0	76.77345058712581
28.0	76.20058393836362
29.0	75.60849396299531
30.0	75.05271197377995
31.0	74.4750497754194
32.0	73.9265228029206
33.0	73.36953164425248
34.0	72.82632666247434
35.0	72.27785726947329
36.0	71.74518111014095
37.0	71.19449079365523
38.0	70.66744097381738
39.0	70.1253300024965
40.0	69.6111697645122
41.0	69.0807556568772
42.0	68.56651316246756
43.0	68.03732467557039
44.0	67.53064154665113
45.0	67.00676682483208
46.0	66.49865243411159
47.0	65.98719020687903
48.0	65.4792238777242
49.0	64.97173463583643
50.0	64.47895284280264
51.0	63.97771508924207
